symbol,entry_date,exit_date,entry_price,exit_price,startup_anchor_date,peak_date,entry_delay_days,exit_delay_days,holding_days,entry_markup_from_base,post_entry_peak_return,peak_giveback,move_capture_ratio,false_start,entry_forward_max_return_20d,entry_forward_return_20d,post_exit_max_return_10d,fixed_horizon_false_buy,material_premature_exit,failed_operation
512800.SH,2018-09-21,2018-10-17,0.47056399880647665,0.47043478595018384,2018-09-11,2018-09-28,8,8,12,0.02968055102343592,0.04980404173208752,-0.047702839009117315,0.3631026598169661,True,0.04980404173208752,0.024302740003079304,0.045841056579431605,True,False,True
512800.SH,2018-11-06,2018-11-07,0.49058800954818726,0.48741440547704695,2018-10-11,2018-11-08,18,-1,1,0.06649565358403065,-0.001198561725929026,-0.005276742876271889,0.9138132014348846,True,-0.001198561725929026,-0.01750555671308951,0.005304734596765837,True,False,True
512800.SH,2018-11-15,2018-11-22,0.47256640286445617,0.4754288109540939,2018-10-18,2018-11-19,20,3,5,0.02508982105870916,0.024194683421493446,-0.01770906295401975,0.627339751630056,True,0.024194683421493446,0.000917515759341514,0.013821590569992548,True,False,True
510880.SH,2019-01-28,2019-02-28,1.6509788486957548,1.8777439952373505,2019-01-03,2019-03-06,17,-4,18,0.09408807836751043,0.2077683245994073,-0.058302891297626,0.7602969909855659,False,0.17748328953927706,0.17748328953927706,0.06191257333046862,False,True,True
513500.SH,2019-06-13,2019-06-24,0.9285001990437506,0.9394565719425677,2019-06-03,2019-07-04,7,-8,7,0.056314209876021426,0.037156481511736006,-0.024448003730272894,0.7197210715922796,True,0.037156481511736006,0.037156481511736006,0.025060687512050706,True,False,True
513500.SH,2019-07-02,2019-07-08,0.9545704219937323,0.9574079786002637,2019-06-03,2019-07-15,20,-5,4,0.08597316631465546,0.017211505158078122,-0.013997978285371304,0.8522604781717469,True,0.021401880235777826,0.021401880235777826,0.014196703431732516,True,False,True
513500.SH,2019-07-19,2019-08-05,0.9625919784843922,0.9574079786002637,2019-06-26,2019-07-29,17,5,11,0.03282403185778793,0.012890243877787588,-0.018043122883500184,0.5908830725748236,True,0.012890243877787588,-0.021392248302553707,0.010018747747594814,True,False,True
159915.SZ,2019-08-20,2019-09-02,1.5668780572891237,1.5481399523735047,2019-08-07,2019-09-09,9,-5,9,0.08284590765308808,0.06581360898878419,-0.07297006457645905,0.4535424091723831,False,0.06581360898878419,0.03198840284044158,0.07871381687703582,False,True,True
159915.SZ,2019-09-12,2019-09-27,1.6489763551235201,1.5601256361961364,2019-08-15,2019-09-16,20,9,10,0.10078526487261241,0.0006207614993638533,-0.054469297733730215,0.4087212547095527,True,0.0006207614993638533,-0.036371879007608854,0.036454979183644376,True,False,True
513500.SH,2019-09-27,2019-10-11,0.9886622014343739,0.96837831569314,2019-08-29,2019-10-22,20,-7,5,0.026648184760039273,0.0013531498427150623,-0.02184009458113112,0.19919682130754926,True,0.011467818380410444,0.011467818380410444,0.022327734412482148,True,False,True
513500.SH,2019-10-31,2019-11-01,1.0037027468562125,0.9943080790758133,2019-10-09,2019-11-15,16,-10,1,0.0411854364704749,0.01125556234060121,-0.020386115182953413,0.5942763332156827,True,0.03715966887973399,0.03715966887973399,0.020810357528528334,True,False,True
159915.SZ,2019-11-01,2019-11-11,1.6109307675361635,1.639030832386017,2019-10-08,2019-11-19,18,-6,6,0.03530255363766854,0.034184734786046,-0.016187980827196413,0.754825702819951,True,0.034184734786046,-0.0067853590697901645,0.016454343423052853,True,False,True
513500.SH,2019-11-19,2019-12-18,1.0317783439874648,1.0471649524450302,2019-10-23,2019-12-27,19,-7,21,0.04855519866669744,0.032198498278810384,-0.016746576354161546,0.7798136029522666,True,0.021537257657314957,0.01862963607529866,0.01703180070511867,True,False,True
512800.SH,2019-12-20,2019-12-27,0.5686816186189652,0.5663195719003677,2019-11-29,2020-01-03,15,-4,5,0.043452479274262545,0.014627522752968858,-0.018510311313911454,0.6662359911412609,True,0.014627522752968858,-0.008232388695658677,0.018859404767350263,True,False,True
159915.SZ,2019-12-27,2019-12-30,1.7300736448764802,1.692966052389145,2019-11-29,2020-01-13,20,-9,1,0.08129601193523395,0.07625475601580356,-0.09078084704923062,0.35483221781633123,False,0.10862331699804573,0.04966629028723535,0.09984484681675632,False,True,True
510500.SH,2020-03-10,2020-03-17,4.802756331253052,4.58149549331665,2020-02-11,2020-03-10,20,5,5,0.028207306215104477,0.033364900986839974,-0.07686970404485327,-0.3065224884383253,True,0.033364900986839974,-0.04429876595668403,-0.008402337647251734,True,False,True
159915.SZ,2020-04-22,2020-04-24,1.9343184410572059,1.9486587752342226,2020-03-30,2020-05-13,16,-10,2,0.08002145828437035,0.0639406852851141,-0.05312988719256684,0.5904820970470489,False,0.06549163000918723,0.021031481642917793,0.05611106156370149,False,True,True
159941.SZ,2020-05-27,2020-06-04,0.5324337181687354,0.5355501004755496,2020-04-24,2020-06-10,20,-4,6,0.09105268890534646,0.03862688335952824,-0.031554925251676136,0.7315402851946117,True,0.05177411436349755,0.05177411436349755,0.03258308196763404,False,False,False
513500.SH,2020-06-08,2020-06-16,1.0598539411187171,1.0152514066576956,2020-05-14,2020-06-09,17,5,6,0.12511037449245088,0.01334717859333101,-0.05470073951937804,0.5549349897701292,True,0.01334717859333101,-0.028168003694390764,0.02437677508549929,True,False,True
159985.SZ,2020-11-03,2020-11-12,1.1093296401023867,1.171592378091812,2020-09-29,2020-11-23,19,-7,7,0.034822399691835315,0.07452283647738445,-0.0171205141280506,0.829936228595723,False,0.07452283647738445,0.04387366073057142,0.01741873177143627,False,False,False
513500.SH,2021-03-25,2021-04-02,1.194215684700012,1.2456276533961295,2021-03-05,2021-04-16,14,-9,6,0.03664560426073882,0.08188166665861685,-0.03589195041152127,0.6687688059325307,False,0.08188166665861685,0.0617847537266627,0.03722814100228855,False,False,False
159941.SZ,2021-04-07,2021-05-11,0.686849502390623,0.6651990957200526,2021-03-09,2021-04-14,20,16,21,0.1007203336847522,0.03370531109235442,-0.06309983686795895,0.4790592941005229,True,0.03370531109235442,-0.001236825357059601,0.0222503480953824,True,False,True
518880.SH,2021-05-21,2021-06-07,3.815573308849335,3.754489262866974,2021-04-30,2021-06-01,12,4,11,0.052571947268782004,0.009808910413872995,-0.025567263080272795,0.5679355487445894,True,0.009808910413872995,-0.04915992242462419,0.010789966514922478,True,False,True
512760.SH,2021-06-07,2021-08-10,0.6387656114578247,0.8040340071439743,2021-05-10,2021-07-30,20,7,45,0.17636396252569142,0.37609162475126245,-0.08528555207157329,0.7768869186795799,False,0.1882292811687687,0.16631201086121883,0.017369926307325922,False,False,False
159865.SZ,2021-10-21,2021-10-28,0.8279924219608308,0.8020363733291627,2021-09-15,2021-11-04,19,-5,5,0.14363597808920026,0.05798068181696103,-0.08443335032337895,0.5133973097131652,False,0.05798068181696103,0.03744914131636112,0.09221977488280175,False,True,True
512660.SH,2021-10-27,2021-10-29,1.2985564506053926,1.2624832581043244,2021-10-13,2021-11-12,10,-10,2,0.07407482202171267,0.11970488114509137,-0.13171715170800513,0.21829904345494852,False,0.12124503309602197,0.09506217452602561,0.15169843786170234,False,True,True
510630.SH,2021-10-29,2021-11-18,1.3876632372379305,1.4073092390537263,2021-09-24,2021-11-04,20,10,14,0.07155465886028378,0.03555387047645353,-0.020661653748870634,0.7909099955254573,True,0.03555387047645353,0.012493473694920265,0.009728327208436971,True,False,True
159865.SZ,2021-11-24,2021-11-25,0.8380044124126436,0.8240099880933762,2021-10-28,2021-12-09,19,-10,1,0.059424024424189925,-0.001198561725929026,-0.01551974206927087,0.7176081907141175,True,0.017894384066823532,0.017894384066823532,0.015764401514654747,True,False,True
159941.SZ,2021-11-11,2021-11-29,0.7971465167343615,0.7998345862090588,2021-10-14,2021-11-22,20,5,12,0.06999531762714928,0.033687011930156,-0.02932695960758147,0.6941086593481207,True,0.033687011930156,0.012360920435750655,0.012709398106060421,True,False,True
512690.SH,2021-11-25,2021-12-31,0.9611519785165789,0.9748288109540939,2021-11-12,2021-12-14,9,13,26,0.1267901467441226,0.10492415349203355,-0.08208213023625666,0.5829128994971822,False,0.10492415349203355,0.06642861802157962,-0.02239244639561222,False,False,False
512200.SH,2022-01-24,2022-02-09,2.298755203819275,2.26228210477829,2021-12-24,2022-01-24,20,7,7,0.03781277331623478,0.017072220323125054,-0.03238577948443877,0.38440760069781105,True,0.017072220323125054,-0.04731045150789637,0.01976668467914111,True,False,True
159981.SZ,2022-02-15,2022-02-28,1.6489763551235201,1.620053579044342,2022-01-11,2022-03-07,20,-5,9,0.09421127306980615,0.1249403384771599,-0.12665576151664548,0.3248666478489575,False,0.1249403384771599,-0.012114428784781972,0.14502387023998153,False,True,True
515220.SH,2022-02-24,2022-03-16,0.9241075780391695,0.8419883947610856,2022-01-28,2022-03-29,14,-9,14,0.19858306730284148,0.11783521412354503,-0.18490958278825587,0.27094800253888507,False,0.0832072699306583,0.07346807597057636,0.2268577557576903,False,True,True
159981.SZ,2022-03-17,2022-04-06,1.6419679856777192,1.699957621908188,2022-02-17,2022-03-25,20,6,12,0.04251932442318984,0.0846740214515862,-0.04550387163790137,0.6065902531924652,False,0.0846740214515862,0.04752348621480751,0.017672438876197294,False,False,False
510880.SH,2022-04-12,2022-04-22,2.4659556591987615,2.3292016171455385,2022-03-15,2022-04-14,18,6,8,0.16483492641684516,0.027999054392713996,-0.08118282513497921,0.5076591456058828,True,0.027999054392713996,-0.07784232820837955,-0.002233269701885421,True,False,True
518880.SH,2022-05-09,2022-05-16,3.9467303121566775,3.872347693347931,2022-04-06,2022-05-09,20,5,5,0.0288660968404566,-0.001958689919029477,-0.016921096667387503,0.35289081485974333,True,-0.001958689919029477,-0.02349545402641684,0.011531082821381267,True,False,True
159981.SZ,2022-05-30,2022-06-13,1.7390843885421754,1.8327980381011966,2022-05-10,2022-06-08,14,3,9,0.07550056028366647,0.07355341470955845,-0.018319199776828943,0.8631922172546398,False,0.07355341470955845,-0.0374245000273975,-0.009710824930376116,False,False,False
159755.SZ,2022-06-07,2022-07-13,1.1213440047740937,1.1975612009525298,2022-05-09,2022-07-07,20,4,26,0.29935577795217916,0.17715887973023503,-0.09275670199566288,0.732081332754416,False,0.16645736095254526,0.1477298094008821,0.06466373087573163,False,True,True
159611.SZ,2022-07-13,2022-08-03,0.954143609070778,0.8619643757104873,2022-06-16,2022-07-13,19,15,15,0.09545765551183871,0.01557037396485672,-0.11045986395377982,-0.09220017455647801,True,0.01557037396485672,-0.08294727158300041,0.08705185856740627,True,True,True
512760.SH,2022-08-08,2022-08-25,0.6127343885421753,0.5473423780918122,2022-07-13,2022-08-11,18,10,13,0.15392536277450986,-0.010990704078670643,-0.09679476486312122,0.21789816759398314,True,-0.010990704078670643,-0.13502492874481464,0.0012014417300760805,True,False,True
159865.SZ,2022-09-01,2022-09-16,0.8760500000000001,0.8439860285758972,2022-08-10,2022-09-02,16,9,10,0.06059325217672429,0.013640786991714782,-0.049565295383969366,0.2900974654581667,True,0.013640786991714782,-0.10963989339675773,-0.009462245858504414,True,False,True
518880.SH,2022-10-11,2022-10-12,3.808564700698853,3.797437645721436,2022-09-16,2022-10-25,12,-9,1,0.021610723361855655,0.004840459195293301,-0.007724655802246794,0.7013912743596352,True,0.007991274493544198,0.007991274493544198,0.007784790630358973,True,False,True
159985.SZ,2022-10-12,2022-11-01,1.7571059952259065,1.8178160523891451,2022-09-06,2022-11-10,20,-7,14,0.0655584859914633,0.06311175056767926,-0.026865084212299495,0.7708493959790019,False,0.052298485199861355,0.052298485199861355,0.027606741651596822,False,False,False
513500.SH,2022-10-28,2022-11-29,1.2894722133874892,1.3453576771736144,2022-10-13,2022-11-25,11,2,22,0.07277220453973143,0.0601236456242662,-0.015831972838769137,0.8688344750455149,False,0.0601236456242662,0.0601236456242662,0.013113507591081097,False,False,False
