strategy,period,start,end,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,completed_round_trips,median_entry_delay_days,median_exit_delay_days,median_peak_giveback,median_move_capture_ratio,false_start_rate,premature_exit_rate,fixed_horizon_false_buy_rate,material_premature_exit_rate,failed_operation_rate,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees
etfwin 策略,全区间,2018-07-02,2026-07-29,2.792671646419905,0.1795207311357805,0.2787381130778886,0.754156569011782,1.2538231285932766,-0.4998487710127286,0.3591500900803635,35.34132160321019,810.0,0.8421965329584841,11847.131663076665,55964.47266351428,0.0,0.0,0.0,413.0,154.0,18.0,0.0,-0.035335460274261266,0.6140771567503561,0.5909090909090909,0.4805194805194805,0.5974025974025974,0.2077922077922078,0.7597402597402597,,,,
etfwin 策略,2018—2020,2018-07-02,2020-12-31,-0.30891874511802675,-0.13741310222724668,0.22491098320073247,-0.5639756829203886,,-0.49966040984415416,,,,,,,,,,,,,,,,,,,,,,,,
etfwin 策略,2021—2022,2021-01-01,2022-12-31,0.18676660565774128,0.09009596966132527,0.28083837569792686,0.4571147307806669,,-0.27275202219036376,,,,,,,,,,,,,,,,,,,,,,,,
etfwin 策略,2023—2024,2023-01-01,2024-12-31,0.29870298154393704,0.14011804364472047,0.2757756486099062,0.630511958266846,,-0.3439449725282725,,,,,,,,,,,,,,,,,,,,,,,,
etfwin 策略,2025—2026,2025-01-01,2026-07-29,2.5607458511910655,1.2468355003920197,0.34620742851946457,2.607942612755165,,-0.13873110904586605,,,,,,,,,,,,,,,,,,,,,,,,
ye 策略,全区间,2018-07-02,2026-07-29,5.597971070322513,0.26324771668052227,0.22337591195052947,1.1973709525768594,2.0627451443276428,-0.20906256593091377,1.2591815063033063,16.321750180777745,264.0,0.519592280712369,6588.810666412409,35773.73721643926,0.0,0.0,0.0,113.0,65.0,18.0,3.0,-0.0449271936602772,0.6256579622884508,0.47692307692307695,0.46153846153846156,0.47692307692307695,0.2153846153846154,0.676923076923077,0.015,8605.972602739756,2949.0,1388.3800000000065
ye 策略,2018—2020,2018-07-02,2020-12-31,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,,-0.13718481429352214,,,,,,,,,,,,,,,,,,,,,,,,
ye 策略,2021—2022,2021-01-01,2022-12-31,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,,-0.20906256593091377,,,,,,,,,,,,,,,,,,,,,,,,
ye 策略,2023—2024,2023-01-01,2024-12-31,0.38379979488502247,0.1770064922863126,0.17712160530458176,1.0433786390498292,,-0.13582739902523422,,,,,,,,,,,,,,,,,,,,,,,,
ye 策略,2025—2026,2025-01-01,2026-07-29,2.839157120811913,1.3572852688754962,0.3455177616387673,2.7576607957372845,,-0.125341390811315,,,,,,,,,,,,,,,,,,,,,,,,
