,equity
2018-07-02,99993.18086143554
2018-07-03,99989.96497017324
2018-07-04,99983.4433977294
2018-07-05,99976.62101915837
2018-07-06,99977.29863343478
2018-07-09,99979.17626802446
2018-07-10,99980.13558735848
2018-07-11,99980.48884186299
2018-07-12,99978.14825434715
2018-07-13,99983.89889868766
2018-07-16,99991.75725182444
2018-07-17,99944.42020670205
2018-07-18,99954.57420429021
2018-07-19,99948.51934580832
2018-07-20,99943.46718935847
2018-07-23,99920.61644520641
2018-07-24,99958.84900327444
2018-07-25,99945.87819969475
2018-07-26,99968.19947643876
2018-07-27,99988.02386146308
2018-07-30,99909.54358515205
2018-07-31,99837.17939452769
2018-08-01,99862.42320366444
2018-08-02,99866.03778832735
2018-08-03,99987.01703481557
2018-08-06,100018.15002902629
2018-08-07,100038.02883288445
2018-08-08,99887.15044150472
2018-08-09,99758.39157777131
2018-08-10,99760.91253087431
2018-08-13,99612.48046188979
2018-08-14,99662.26848096341
2018-08-15,100048.65505898357
2018-08-16,99493.16672274828
2018-08-17,100004.47094040632
2018-08-20,99951.24813885927
2018-08-21,99677.84619463206
2018-08-22,99536.53250588657
2018-08-23,99709.44517369747
2018-08-24,99480.16735082152
2018-08-27,99918.5682392645
2018-08-28,100795.37001615048
2018-08-29,101014.56719403743
2018-08-30,101452.96808248044
2018-08-31,101124.16578298093
2018-09-03,100685.76489453795
2018-09-04,101014.56719403743
2018-09-05,100570.6761811602
2018-09-06,100150.83353318514
2018-09-07,99907.2168803805
2018-09-10,100037.30337396263
2018-09-11,100147.39047680139
2018-09-12,100249.87043810784
2018-09-13,100042.02405224978
2018-09-14,100323.03206380247
2018-09-17,100281.7438818407
2018-09-18,99632.2865228203
2018-09-19,100127.23044913025
2018-09-20,100452.43272345273
2018-09-21,101211.23587649078
2018-09-25,100886.03360216826
2018-09-26,101428.03308527678
2018-09-27,100560.83132784575
2018-09-28,100777.63499777525
2018-10-08,99910.43324034421
2018-10-09,100157.11345338554
2018-10-10,100443.82842953652
2018-10-11,95570.3330772683
2018-10-12,95903.47527634233
2018-10-15,95319.72521125383
2018-10-16,95432.43414882607
2018-10-17,96390.22452286548
2018-10-18,96234.96250492519
2018-10-19,96179.60602309927
2018-10-22,95984.0096174918
2018-10-23,96475.40747515782
2018-10-24,96510.50493113621
