symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
159941.SZ,2018-07-02,2018-08-07,2018-08-08,2018-08-16,27,7,14800.0,0.4133088745638727,0.4177878354279576,6251.971343545316,6148.259964333773,170.0,-103.71137921154332,-0.01658858838478483,33,负
159941.SZ,2018-09-05,2018-09-11,2018-09-12,2018-09-19,5,6,10800.0,0.426611711192131,0.42526534114488296,4632.4064808750145,4562.865684364736,55.0,-69.5407965102786,-0.015011807965768842,10,负
513500.SH,2018-08-08,2018-10-10,2018-09-05,2018-10-22,20,13,205100.0,0.9167943774251603,0.8985249979758251,188134.5268099004,184222.44052050912,165.03656433260022,-3912.086289391271,-0.02079409003613797,47,负
518880.SH,2018-10-15,2018-10-22,2018-11-13,2018-11-13,6,1,35100.0,2.7270861884051922,2.6927648990631106,95753.65258687448,94487.69314272805,61.282188239360806,-1265.9594441464287,-0.01322100421180128,21,负
512880.SH,2018-11-13,2018-11-13,2018-12-03,2018-12-03,1,1,126000.0,0.7509000000000001,0.8030352200031281,94641.78402,101152.08298907802,58.73875131611824,6510.298969078009,0.06878884455202394,14,胜
518880.SH,2018-12-03,2018-12-03,2018-12-04,2018-12-04,1,1,37100.0,2.724265156078339,2.72372759809494,101100.55836169353,101019.97880115548,60.636159353948585,-80.57956053805538,-0.0007970238922893058,1,负
512880.SH,2018-12-04,2018-12-04,2018-12-12,2018-12-12,1,1,127700.0,0.7909480214834214,0.7660796195268631,101034.36356213593,97799.01890335634,59.64972892710399,-3235.3446587795916,-0.03202222040810765,6,负
518880.SH,2018-12-12,2018-12-12,2018-12-14,2018-12-14,1,1,35400.0,2.7593072420120244,2.7437035790443423,97708.78021013584,97097.96856616027,58.441974919618616,-610.8116439755686,-0.006251348575449733,2,负
512200.SH,2018-12-14,2018-12-14,2018-12-17,2018-12-17,1,1,600.0,2.1505776019096374,2.0785028895378113,1295.3465611457825,1242.1017337226867,10.0,-53.244827423095785,-0.04110469662728622,1,负
518880.SH,2018-12-17,2018-12-17,2019-01-17,2019-01-17,1,1,35300.0,2.7472927579879762,2.8026327942848206,97008.52818728265,98903.25775696269,58.77371159856891,1894.729569680043,0.019531577327120297,21,胜
512880.SH,2019-01-17,2019-01-17,2019-01-31,2019-01-31,1,1,125000.0,0.7919492085933686,0.7670784066677093,99023.34916949333,95856.03539321363,58.463535572290425,-3167.313776279698,-0.03198552465498172,10,负
159920.SZ,2019-01-31,2019-01-31,2019-02-25,2019-02-25,1,1,66200.0,1.44673405251503,1.5081879904747009,95802.52641477794,99812.09235593438,58.68475177377606,4009.565941156441,0.04185240297105519,12,胜
512980.SH,2019-02-25,2019-03-11,2019-03-27,2019-04-04,11,7,119000.0,0.8391208643465082,0.882390287863627,99910.38285723448,104969.44425577162,90.0,5059.061398537146,0.050635992515074335,28,胜
159941.SZ,2019-03-28,2019-05-14,2019-05-15,2019-06-20,30,26,31000.0,0.4137010849561516,0.40620350872208033,12974.733633640699,12462.30877038449,280.0,-512.4248632562085,-0.0394940565043741,55,负
518880.SH,2019-05-15,2019-06-20,2019-07-02,2019-07-02,26,1,36400.0,2.8651593791083974,3.0483376457214355,104444.52865275826,110926.20245716897,186.0151003038702,6481.673804410704,0.06205852894372299,33,胜
513500.SH,2019-07-02,2019-07-02,2019-07-04,2019-07-04,1,1,116100.0,0.9545704219937323,0.9653863947689532,110858.87368127036,112047.73602454565,66.87209592784433,1188.8623432752938,0.010724106278523049,2,胜
518880.SH,2019-07-04,2019-07-04,2019-07-24,2019-07-24,1,1,35600.0,3.1457703598976137,3.1362321047782897,112023.02163979875,111616.36797122809,67.09178632273864,-406.6536685706669,-0.003630090160201438,14,负
