date,company,field,selected_source_hash,selected_source,alternative_source_hash,alternative_source,alternative_value,reverse_order_recovers_field
2026-08-11,长城科技,turnover,a489901c48a391a4ce8146b5f48deba28ca3cc21d9fcbdec977d8c99f819ef5c,ths_hot_reason,83072a5ccd8527c97fcb0248b0a883bde6da0e40d24b4bb863fe87ded59c47db,eastmoney_limit_up,316157744.0,True
2026-08-11,凯迪股份,turnover,dfbbc778b46d415a11e458a4d3de77e940c94244a500c707f387b552ecd2b7dc,ths_hot_reason,e54fe7a100a722acd9d2ad0d7e2c953331aafd71a2283e6a124037448db27bc9,eastmoney_limit_up,218278837.0,True
2026-08-11,万邦医药,turnover,6fe3409396810dcab9fd785854d03188897fdedeb1e9d312278c31adcab1aeeb,ths_hot_reason,4230fe1b466f5dd72a9fb465f54890e3c3663993191f9e290c9eefda1e8343ee,eastmoney_limit_up,1404170944.0,True
2026-08-11,武汉凡谷,turnover,c200faf0d45eb2cc5f793089d150a53bb3e6ec190f91fe5db346639f114ee8f2,ths_hot_reason,7de7adc789dc05a2522ae997933967910156ed0265c82a0048c6ccc5a660da64,eastmoney_limit_up,782053952.0,True
2026-08-11,立新能源,turnover,37d3056127aca38132d48a33e99deeccafd2eeb58fc36b6976ff352d3148f548,ths_hot_reason,e3c62bb37c161afa490b098e972d50665c2a6fc7d0ed01ee6c0bab1ccda62ee4,eastmoney_limit_up,3628988256.0,True
2026-08-11,第一医药,turnover,a514746c7abcd0885ceb6ce54964fac2dbdc29cb062c7499115cba86a08937a3,ths_hot_reason,eac830bf6b7a7ff25dd8d57c8f2ec2221fccc30b6d01b80739a931a9b69ce37d,eastmoney_limit_up,446405968.0,True
2026-08-11,华能蒙电,turnover,4ed4e5fe3f4afd6b31913c3ba415bbdfa3a1420deddf6e698f1e9e33cae345a5,ths_hot_reason,c1529f7b90fd94bedd12416c45419abb155a88697b01582b9dcb12049547a890,eastmoney_limit_up,1102493072.0,True
2026-08-11,华智数媒,turnover,c06b404f1aaec26f355c6a81d3b3193f9fbca82237e9fb56de1dd4f63f3d0f82,ths_hot_reason,f49e90d5eecbf9570cb6e046ba988009293985187f94b3a73bbdb8d8862c45b0,eastmoney_limit_up,421059216.0,True
2026-08-11,哈药股份,turnover,f14e2e32d47c58bae13d53eb32815c9f6d1cfa5779db249037866c0be4a9e265,ths_hot_reason,b58d7c8210c1dd02e5b9509afb07025245b6813284676b8167cf86cb5d8bfc39,eastmoney_limit_up,5494869248.0,True
2026-08-11,杭钢股份,turnover,a951f827fe9e27e5629c2ccc0340f73129280126352673280f4070990e320fc2,ths_hot_reason,324877a35d6ff20ecca0d784dde072189a827567f1ffb6e8654f35da1a52a2d9,eastmoney_limit_up,1115980112.0,True
2026-08-11,文投控股,turnover,b402ee7851c430a5cdde7846018e713d3f2e1aa2fcf306269e1917a14b1a8eb4,ths_hot_reason,c26c8b5b35a037c317b3d03ac7d9b2bc6d97dbf2c2d9ccc375930f4cecc5e009,eastmoney_limit_up,155548064.0,True
2026-08-11,华东重机,turnover,3ec71d30b3f1084346afb93aaa27b8dd55de94d54444a546f3679f019b54015a,ths_hot_reason,4efaa831996bb04a68aa1c22a31d3aa6e514c3abc3769f92c2a87118f8e83dba,eastmoney_limit_up,340266336.0,True
2026-08-11,香江控股,turnover,37a27934457521bda1bef5b9f78a1c109b8683748a8fab1dc26c31b41b8ca353,ths_hot_reason,de7ce1dab92b38bdd3a30196173efea74a4b33a9a1f34ceae3922ff60df82cd0,eastmoney_limit_up,400355936.0,True
2026-08-11,兆新股份,turnover,e749557e112627fc4f6e00dec13b7f27afd8a7e271c9c6ed15c362d63a061896,ths_hot_reason,1d187f126d5205ff39a0e938ac2511cbbc413a8ad9ba44d96691e950825f2446,eastmoney_limit_up,327544752.0,True
2026-08-11,开开实业,turnover,3cbb2f0923556e42bd815ea58a6c204ae0e729d8f9e99028ffb90af2a9201f7a,ths_hot_reason,ac90560d2c85353ae3d06b69be69c0d69cc5ffa27349abc314ae10e9583ffbe7,eastmoney_limit_up,752039616.0,True
2026-08-11,百花医药,turnover,20abfdc206a7aec11654c6247053e4b33941c6c711b136e0f1135b074f2d8868,ths_hot_reason,7cad4d6e8fcccabcc66f007b09d7244479d480dd50089a8b5da4d2e522b8d908,eastmoney_limit_up,851697296.0,True
2026-08-11,京投发展,turnover,1d6c37b5ee2c86e4671d547dc009cc3b36d05318c474fe99995e096d9cf50239,ths_hot_reason,87f04d602771d178a1d98212d554cb51ff29a43f05b0ecb85f4aaf5313f633ba,eastmoney_limit_up,103497216.0,True
2026-08-11,北京文化,turnover,c5a099e830cfb0317db0dff30f60d1c3cd6836722523e1a579f8564625afb76b,ths_hot_reason,6b607fa13910542b79b438905ac5766fc52aa2a870bd80a7cb95921d20fec5b6,eastmoney_limit_up,254059151.0,True
2026-08-12,长城科技,turnover,f608c58097ce52005b189859aee4422d15b9dac1358cef95d0e0e2893afecc32,ths_hot_reason,a40db04c650a430047fbae94e36b8890eb8475a697a7e3bd7321781888b43544,eastmoney_limit_up,1030141952.0,True
2026-08-12,康恩贝,turnover,31cd3d5b03a1de7c17e8b4216601fafdf6c8f9c41ba205016d6d768f7e3bb4fc,ths_hot_reason,b9603146d119e50b16c45708492d80c33a8151008ffafa68e1a41317516a46e9,eastmoney_limit_up,899269616.0,True
2026-08-12,长进光子,turnover,6a3d417a80a9a2a4abcb97de9ae5cbf0cc04cb8c1cba823b0403aafe8267ac03,ths_hot_reason,fb6e831e6eadb22933cbddf391f8f65691613c60ddca7f9c2b2abaf8af2cc656,eastmoney_limit_up,1256980448.0,True
2026-08-12,首开股份,turnover,bdcd7b60b71b9061dc532c49be5f5f1ccba01f4215c05eb1e44ca9178cd8a8f8,ths_hot_reason,f30232f11ef5a38bac7aefccbd1a51b66366d0846324b3402269083a9990ef37,eastmoney_limit_up,1043388336.0,True
2026-08-12,新城控股,turnover,5ebe7b6a60728bf74094f3a1ff444b21d447f5f0f7b534c21a902b8fb9b7e2f7,ths_hot_reason,8e52ef04c6d5e1fea022417a187c71a28ef5f4c1b02b62ad42634410bbbb6447,eastmoney_limit_up,545589280.0,True
2026-08-12,滨江集团,turnover,35054ff69842b6d39b0ffcb26d6d8dd10e28dc6f49d97a47137a61a1a3b863f1,ths_hot_reason,79017913ec32303e1bfe484fb20698093aec93c1dd0eee6b860ae75a049e0f6c,eastmoney_limit_up,540867808.0,True
2026-08-12,今世缘,turnover,424b85b73b7a7ca2da7c016617dbb41d3a0e734157899a319f24ad3752670b4a,ths_hot_reason,42eb50d8ffb0e394460444dbb2426021a1fde9e7c64e0ceb0319649e0d924d5a,eastmoney_limit_up,1366879888.0,True
2026-08-12,中交发展,turnover,c61b7a96e37b6dc2a391a72ce0bf4fdb27e6fca0ec97b34fbe95f641c05818b3,ths_hot_reason,a8e108e47252edd7053545f06cb1749fd3d70e7b0b35f79044c5a17da53b453f,eastmoney_limit_up,167812541.0,True
2026-08-12,城建发展,turnover,ff44e2814e8b736b660666cfab5f62792649ba535fe810a8a728e0c3c38647dc,ths_hot_reason,54d3bf18b57b133daa35b462b198af47e4f79d907a1fef37135d97d58a8c1a61,eastmoney_limit_up,473982112.0,True
2026-08-12,瑞康医药,turnover,8ad28a0b67d04a95c1c122bb6836809e8d24ed63dbb0793878255bf5eb9f44b8,ths_hot_reason,f2aac1f7222be5cb6ef70166534ea5f8049fc8cbcd54de395d5d36419758ac87,eastmoney_limit_up,823234416.0,True
2026-08-12,通宇通讯,turnover,78851c0613957fb3e8e28279bf840f786ba55437f9f591a7bee10a5559ba13d2,ths_hot_reason,f74f83ecf2bc7af38fd141d3a68ddcff8d88ec16001605fdd1141aedde755dbe,eastmoney_limit_up,3280191856.0,True
2026-08-12,可川科技,turnover,78739294377b41e9db747054d5d0197be2e2266e9215dbdc4c4cbd6631a1c40b,ths_hot_reason,bef91d9f4d96785c76123d5c2e196b5d4f25d10c51bfc8de3e2cc771c040e68f,eastmoney_limit_up,218412164.0,True
2026-08-12,澳洋健康,turnover,2bc566d239e590f8c8b4b006356ab29c3b9f239779737ae16b7211e242f45f16,ths_hot_reason,5bf1e310050144457bd65db13f324897e5b9958c2c730baef5da65873ed23225,eastmoney_limit_up,195547428.0,True
2026-08-12,永鼎股份,turnover,8d704440000ff835e8b8064839b2aef7e67927ff4db3e4dd4005475963c22a4a,ths_hot_reason,741524501ad7c2839eea266c6461a3d6bc816b3f496c1da23920a50d71806169,eastmoney_limit_up,8165109760.0,True
2026-08-12,风范股份,turnover,56206f142ce076939b8a59f8f6057defeacba21e9b5e50cc9daba58c6d539293,ths_hot_reason,1689cb506a2eeebcd3118be63dc56e94e355ed72aa0324e3cac28df867c3a4b2,eastmoney_limit_up,1186776832.0,True
2026-08-12,浙江医药,turnover,4e433475c7df9f78632792489664e6fe7f34a9bd83f264ade6a52cdd67916724,ths_hot_reason,6912d7299da1bd68f1aded525d9cc61eaa3e15699fe4602822d89620469ef0e9,eastmoney_limit_up,908486960.0,True
2026-08-12,金辰股份,turnover,a4a5d1aace9ff9018182b584c75a9547f60f03488867f9d19eb4258a6eb8da70,ths_hot_reason,036df7457b27cf52d227d27390db21cdb32fe5d7feabb90137f29b205f3b222d,eastmoney_limit_up,158694513.0,True
2026-08-12,宝光股份,turnover,004ce46ad3533448f2fd145e2b5c84767eb26b95369affe61bb052cbb40f5324,ths_hot_reason,2fa20dba0461847bc3675be46e50b3e4b2616e41cf34b53552e73f983be25e55,eastmoney_limit_up,415051328.0,True
2026-08-12,德豪润达,turnover,7dd3d3784448f9c90de099c596b28f89a4b305b92441e78bfcce3a572bd9a0ad,ths_hot_reason,ea0d8089cad96f79edf88d7e69886c2bea84285c3337e854687420f86f4985fb,eastmoney_limit_up,85493485.0,True
2026-08-12,京基智农,turnover,6705f28d2e528aae112cd561c7c967da351222a4f20822715f2aa013556916a6,ths_hot_reason,fc0d4867e0518e9a9ef40247ad31d134e15b8bc3dd6a58c893bd3a70605dc3a9,eastmoney_limit_up,602957728.0,True
2026-08-12,超研股份,turnover,f5aef66427bd97602eb478036c54118ccfeeacfafa6113d77fbcd3da08c69e4e,ths_hot_reason,9b009cfc77186a87407bafd478b4775c6d892d836166876ae532759756c4a376,eastmoney_limit_up,226785824.0,True
2026-08-12,百花医药,turnover,428e168766ecb0868f1bac4e791f02e234a5ee23598e57bc317d6080be1b2212,ths_hot_reason,23dbdf1d0b903fb27344c6b100314eda34b493e03bb29a440ee15c55aa033f87,eastmoney_limit_up,1840794640.0,True
2026-08-12,香江控股,turnover,dc54fea07670eca361562e09011524f3454290d21ca09ce8110af29e33c85e65,ths_hot_reason,8d8c40f74bc5a512fefca7ab56a1124ba005809516fab3bee3fe01c6c8ac6ba8,eastmoney_limit_up,789468112.0,True
2026-08-13,大唐发电,turnover,f2b32e2ece9a7893089e736ec1a96f0f3da90d19ca37522d977cd14047303657,ths_hot_reason,82764939d4aea18af4b7295107376e0f405e954948cfdac12cb8a97102b71136,eastmoney_limit_up,5966665984.0,True
2026-08-13,望变电气,turnover,b029740636e681bb0e53cfefff2b2a3949ff87ee7cdf9b63a05e4aa9d27f0ec9,ths_hot_reason,2f1172700012cad3bba6bf10885f51eff192debac9ce85025aea1b786a6ae137,eastmoney_limit_up,626222064.0,True
2026-08-13,深振业A,turnover,3982b1c13a619465d441cab070253cff4a2b4e964fff48ea2522ff0c5b693d9d,ths_hot_reason,a08db1365868137284cccfca80a7991ee6b864369d26a72bddd9c0373aa9fd70,eastmoney_limit_up,284308688.0,True
2026-08-13,方盛制药,turnover,8fc20c95ea57688d867ad03dd8475875592a83684b34333ca1cce011553d9547,ths_hot_reason,e2d26b7b067fda56f8a9a2f1b47d92c5f8af992e368db69492ce4776a554583b,eastmoney_limit_up,414457088.0,True
