variant,baseline,start,end,sessions,base_positions,alternative_positions,base_window_return,alternative_window_return,difference_pp
no_dde,rich,2024-01-15,2024-01-15,1,518880.SH,159941.SZ,0.005811155810365509,0.004806937499090225,-0.10042183112752845
no_dde,rich,2024-06-12,2024-07-22,29,518880.SH|513500.SH,159941.SZ,0.025201290226672723,0.03614202699375202,1.0940736767079295
no_dde,rich,2024-07-31,2024-08-07,6,512800.SH,512760.SH|cash,-0.02172413885090596,-0.01655246927085574,0.517166958005022
no_dde,rich,2024-09-25,2024-09-25,1,518880.SH,159851.SZ,0.0075474357896809785,0.0006024845132541756,-0.6944951276426803
no_dde,rich,2024-11-19,2024-12-10,16,159851.SZ,cash,0.13469474283360006,0.002000635334333367,-13.269410749926669
no_dde,rich,2025-01-23,2025-02-07,6,512800.SH,513520.SH|513500.SH|cash,0.02217424481644059,-0.02915096409186746,-5.132520890830805
no_dde,rich,2025-02-12,2025-02-17,4,513200.SH,cash,0.06336676041528522,0.00020608532170829363,-6.316067509357692
no_dde,rich,2025-03-27,2025-03-27,1,518880.SH|513200.SH,518880.SH,0.002635793949131049,0.001435719625427545,-0.12000743237035039
no_dde,rich,2025-05-16,2025-06-23,26,513200.SH|513530.SH|513530.SH|159869.SZ,512800.SH|159865.SZ|159869.SZ,0.0964128292392048,-0.02269345016632429,-11.91062794055291
no_dde,rich,2025-10-16,2025-11-03,13,515050.SH,cash,0.06112962026917601,-0.007458174056459321,-6.858779432563534
no_dde,rich,2025-12-23,2025-12-23,1,513500.SH,cash,-0.0007939736831938937,-0.00015751936591479332,0.06364543172791004
no_dde,rich,2026-04-08,2026-06-29,55,515050.SH,cash|159915.SZ,0.6295669178322907,0.13569608904038932,-49.38708287919014
no_dde,rich,2026-07-13,2026-07-13,1,512010.SH,cash,-0.006257887514085403,0.00011306461469784423,0.6370952128783247
no_dde,rich,2026-07-17,2026-07-31,11,cash|159985.SZ|159985.SZ|512800.SH,512010.SH|512800.SH,-0.028849098376517057,0.002763196695879877,3.1612295072396934
specific,rich,2024-01-15,2024-01-15,1,518880.SH,159941.SZ,0.005811155810365509,0.004806937499090225,-0.10042183112752845
specific,rich,2024-06-12,2024-07-22,29,518880.SH|513500.SH,159941.SZ,0.025201290226672723,0.03614202699375202,1.0940736767079295
specific,rich,2024-07-31,2024-08-07,6,512800.SH,512760.SH|cash,-0.02172413885090596,-0.01655246927085574,0.517166958005022
specific,rich,2024-09-25,2024-09-25,1,518880.SH,159851.SZ,0.0075474357896809785,0.0006024845132541756,-0.6944951276426803
specific,rich,2024-11-19,2024-12-10,16,159851.SZ,cash,0.13469474283360006,0.002000635334333367,-13.269410749926669
specific,rich,2025-01-23,2025-02-07,6,512800.SH,513520.SH|513500.SH|cash,0.02217424481644059,-0.02915096409186746,-5.132520890830805
specific,rich,2025-03-27,2025-06-23,58,518880.SH|513200.SH|518880.SH|513200.SH|513530.SH|513530.SH|159869.SZ,512400.SH|cash|159985.SZ|159865.SZ|512660.SH|159865.SZ|512660.SH|512800.SH|159869.SZ,0.1662667219635363,-0.15674849305031646,-32.30152150138528
specific,rich,2025-10-20,2025-11-03,11,515050.SH,cash,0.10069550910560898,0.02939467097883708,-7.13008381267719
specific,rich,2025-12-23,2025-12-23,1,513500.SH,cash,-0.0007939736831938937,-0.00015757231852775444,0.06364013646661393
specific,rich,2026-07-31,2026-07-31,1,159985.SZ|512800.SH,512800.SH,0.005572447298019423,0.007141544367066377,0.1569097069046954
joint,rich,2024-01-15,2024-01-15,1,518880.SH,159941.SZ,0.005811155810365509,0.004806937499090225,-0.10042183112752845
joint,rich,2024-06-12,2024-07-22,29,518880.SH|513500.SH,159941.SZ,0.025201290226672723,0.03614202699375202,1.0940736767079295
joint,rich,2024-07-31,2024-08-07,6,512800.SH,512760.SH|cash,-0.02172413885090596,-0.01655246927085574,0.517166958005022
joint,rich,2024-09-25,2024-09-25,1,518880.SH,159851.SZ,0.0075474357896809785,0.0006024845132541756,-0.6944951276426803
joint,rich,2024-11-19,2024-12-10,16,159851.SZ,cash,0.13469474283360006,0.002000635334333367,-13.269410749926669
joint,rich,2025-01-23,2025-02-07,6,512800.SH,513520.SH|513500.SH|cash,0.02217424481644059,-0.02915096409186746,-5.132520890830805
joint,rich,2025-02-12,2025-02-17,4,513200.SH,cash,0.06336676041528522,0.00020608532170829363,-6.316067509357692
joint,rich,2025-03-27,2025-05-27,40,518880.SH|513200.SH|518880.SH|513200.SH,512400.SH|cash|159985.SZ|159865.SZ|512660.SH|159865.SZ|512660.SH|513530.SH,0.14219707856298602,-0.12301043310285042,-26.520751166583644
joint,rich,2025-06-20,2025-06-23,2,513530.SH|159869.SZ,159869.SZ,-0.005637357547352839,-0.02073168659341318,-1.509432904606034
joint,rich,2025-10-16,2025-11-03,13,515050.SH,cash,0.06112962026917601,-0.007458492816177609,-6.858811308535362
joint,rich,2025-12-23,2025-12-23,1,513500.SH,cash,-0.0007939736831938937,-0.00015747097976182012,0.06365027034320736
joint,rich,2026-04-08,2026-06-29,55,515050.SH,cash|159915.SZ,0.6295669178322907,0.13568793219828867,-49.3878985634002
joint,rich,2026-07-13,2026-07-13,1,512010.SH,cash,-0.006257887514085403,0.00011294986941234875,0.6370837383497752
joint,rich,2026-07-17,2026-07-31,11,cash|159985.SZ|159985.SZ|512800.SH,512010.SH|512800.SH,-0.028849098376517057,0.0027625231815382456,3.1611621558055303
joint_valid,rich,2018-10-15,2018-11-19,26,512800.SH|cash,518880.SH|512800.SH|518880.SH|512800.SH,-0.03923749918868458,-0.0069109364696609,3.2326562719023677
joint_valid,rich,2018-11-30,2018-12-03,2,cash,518880.SH,0.00014353020349044954,-0.005847901971203884,-0.5991432174694333
joint_valid,rich,2018-12-12,2019-01-15,23,cash,518880.SH,0.0012007212032982828,0.014808706804503968,1.3607985601205685
joint_valid,rich,2019-01-24,2019-01-24,1,cash,518880.SH,3.085412460879233e-05,-0.0014658141948948877,-0.149666831950368
joint_valid,rich,2019-05-28,2019-07-01,24,cash|513500.SH,518880.SH,0.013195040214556197,0.06185466071513268,4.865962050057648
joint_valid,rich,2019-08-16,2019-09-17,22,cash|159915.SZ,512010.SH|159915.SZ|512010.SH,-0.014215729930005416,0.040817718560941296,5.503344849094671
joint_valid,rich,2019-10-11,2019-11-28,35,cash|159915.SZ|513500.SH,512010.SH|513500.SH|512010.SH,0.012215004091937098,0.039857261175770375,2.7642257083833277
joint_valid,rich,2019-12-18,2019-12-18,1,cash,513500.SH,-0.002200707745378394,-0.0026434901434616576,-0.04427823980832635
