variant,gate,symbol_days,days
rich,current_normal,2145,1091
rich,emerging,37,32
rich,quality_extension,23,23
rich,hot_exit_protection,11941,607
rich,entry_gate,1098,592
no_dde,current_normal,2119,1089
no_dde,emerging,0,0
no_dde,quality_extension,23,23
no_dde,hot_exit_protection,0,0
no_dde,entry_gate,1039,578
specific,current_normal,2126,1090
specific,emerging,46,38
specific,quality_extension,20,20
specific,hot_exit_protection,7003,613
specific,entry_gate,1087,588
joint,current_normal,2119,1089
joint,emerging,0,0
joint,quality_extension,20,20
joint,hot_exit_protection,0,0
joint,entry_gate,1036,575
joint_valid,current_normal,2119,1089
joint_valid,emerging,0,0
joint_valid,quality_extension,20,20
joint_valid,hot_exit_protection,0,0
joint_valid,entry_gate,1229,714
without_weak_edge_filter,current_normal,2378,1132
without_weak_edge_filter,emerging,0,0
without_weak_edge_filter,quality_extension,20,20
without_weak_edge_filter,hot_exit_protection,0,0
without_weak_edge_filter,entry_gate,1337,731
without_emerging_trend,current_normal,2119,1089
without_emerging_trend,emerging,0,0
without_emerging_trend,quality_extension,20,20
without_emerging_trend,hot_exit_protection,0,0
without_emerging_trend,entry_gate,1229,714
without_quality_extension,current_normal,2119,1089
without_quality_extension,emerging,0,0
without_quality_extension,quality_extension,0,0
without_quality_extension,hot_exit_protection,0,0
without_quality_extension,entry_gate,1209,705
without_hot_exit_protection,current_normal,2119,1089
without_hot_exit_protection,emerging,0,0
without_hot_exit_protection,quality_extension,20,20
without_hot_exit_protection,hot_exit_protection,0,0
without_hot_exit_protection,entry_gate,1229,714
without_all,current_normal,2378,1132
without_all,emerging,0,0
without_all,quality_extension,0,0
without_all,hot_exit_protection,0,0
without_all,entry_gate,1317,722
