date,rows,positive_rows,dedup_positive_events,dde_present,turnover_present,selected_dde_present,selected_turnover_present,order_changes_selected_hash
2026-07-17,269,57,57,34,269,29,57,0
2026-07-20,331,97,97,0,277,0,46,0
2026-07-21,267,173,173,0,148,0,72,0
2026-07-22,138,87,87,0,90,0,42,0
2026-07-23,272,134,134,0,143,0,45,0
2026-07-24,118,47,47,0,76,0,17,0
2026-07-27,250,126,92,0,129,0,46,0
2026-07-28,197,59,44,0,130,0,17,0
2026-07-29,190,94,63,0,104,0,32,0
2026-07-30,201,56,43,0,145,0,15,0
2026-07-31,307,123,92,0,206,0,35,0
2026-08-03,180,99,70,0,97,0,33,0
2026-08-04,293,178,134,0,153,0,50,0
2026-08-05,251,127,90,0,147,0,47,0
2026-08-06,183,103,73,0,100,0,37,0
2026-08-07,178,103,66,0,104,0,40,0
2026-08-10,221,83,60,103,221,53,60,23
2026-08-11,136,62,44,0,76,0,1,18
2026-08-12,200,81,58,0,104,0,7,23
2026-08-13,161,82,52,0,99,0,1,30
2026-08-14,156,83,57,0,92,0,0,26
2026-08-17,229,125,88,0,119,0,3,37
2026-08-18,187,80,58,0,107,0,2,22
2026-08-19,203,44,29,0,166,0,1,15
2026-08-20,220,106,70,0,137,0,5,36
2026-08-21,142,71,47,0,85,0,3,24
2026-08-24,121,62,41,0,73,0,6,21
2026-08-25,159,76,55,0,89,0,6,21
2026-08-26,128,69,44,0,72,0,0,25
2026-08-27,175,97,66,0,97,0,1,31
2026-08-28,180,85,58,0,99,0,2,27
2026-08-31,218,106,73,0,129,0,1,33
2026-09-01,174,90,59,0,89,0,6,31
2026-09-02,129,69,48,0,75,0,2,21
2026-09-03,139,55,40,0,93,0,0,15
2026-09-04,136,45,27,40,136,26,27,18
2026-09-07,208,119,80,94,208,78,80,39
2026-09-08,185,87,57,0,110,0,2,30
2026-09-09,131,52,33,0,82,0,1,19
2026-09-10,108,55,34,0,68,0,2,20
