,rich,no_dde,specific,joint,joint_valid,without_weak_edge_filter,without_emerging_trend,without_quality_extension,without_hot_exit_protection,without_all
2018-07-02,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-03,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-04,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-05,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-06,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-09,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-10,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-11,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-12,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-13,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-16,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-17,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-18,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-19,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-20,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-23,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-24,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-25,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-26,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-27,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-30,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-07-31,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-01,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-02,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-03,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-06,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-07,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-08,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-09,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-10,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-13,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-14,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-15,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-16,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-17,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-20,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-21,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-22,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-23,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-24,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-27,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-28,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-29,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-30,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-08-31,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-03,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-04,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-05,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-06,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-07,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-10,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-11,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-12,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-13,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-14,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-17,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-18,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-19,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-20,cash,cash,cash,cash,cash,cash,cash,cash,cash,cash
2018-09-21,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH
2018-09-25,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH
2018-09-26,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH
2018-09-27,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH,512800.SH
