date,baseline,rank_2d,gap5_2d,combined5_1d,combined5_2d,combined5_3d,combined8_2d,combined10_2d,combined5_roc3_2d
2018-07-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-07-03,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068
2018-07-04,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177
2018-07-05,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287
2018-07-06,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396
2018-07-09,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724
2018-07-10,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834
2018-07-11,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943
2018-07-12,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053
2018-07-13,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162
2018-07-16,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849
2018-07-17,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726
2018-07-18,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671
2018-07-19,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819
2018-07-20,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928
2018-07-23,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256
2018-07-24,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366
2018-07-25,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475
2018-07-26,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585
2018-07-27,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694
2018-07-30,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022
