date,regime
2018-07-02,price_fallback
2018-07-03,price_fallback
2018-07-04,price_fallback
2018-07-05,price_fallback
2018-07-06,price_fallback
2018-07-09,price_fallback
2018-07-10,price_fallback
2018-07-11,price_fallback
2018-07-12,price_fallback
2018-07-13,price_fallback
2018-07-16,price_fallback
2018-07-17,price_fallback
2018-07-18,price_fallback
2018-07-19,price_fallback
2018-07-20,price_fallback
2018-07-23,price_fallback
2018-07-24,price_fallback
2018-07-25,price_fallback
2018-07-26,price_fallback
2018-07-27,price_fallback
2018-07-30,price_fallback
2018-07-31,price_fallback
2018-08-01,price_fallback
2018-08-02,price_fallback
2018-08-03,price_fallback
2018-08-06,price_fallback
2018-08-07,price_fallback
2018-08-08,price_fallback
2018-08-09,price_fallback
2018-08-10,price_fallback
2018-08-13,price_fallback
2018-08-14,price_fallback
2018-08-15,price_fallback
2018-08-16,price_fallback
2018-08-17,price_fallback
2018-08-20,price_fallback
2018-08-21,price_fallback
2018-08-22,price_fallback
2018-08-23,price_fallback
2018-08-24,price_fallback
2018-08-27,price_fallback
2018-08-28,price_fallback
2018-08-29,price_fallback
2018-08-30,price_fallback
2018-08-31,price_fallback
2018-09-03,price_fallback
2018-09-04,price_fallback
2018-09-05,price_fallback
2018-09-06,price_fallback
2018-09-07,price_fallback
2018-09-10,price_fallback
2018-09-11,price_fallback
2018-09-12,price_fallback
2018-09-13,price_fallback
2018-09-14,price_fallback
2018-09-17,price_fallback
2018-09-18,price_fallback
2018-09-19,price_fallback
2018-09-20,price_fallback
2018-09-21,price_fallback
2018-09-25,price_fallback
2018-09-26,price_fallback
2018-09-27,price_fallback
2018-09-28,price_fallback
2018-10-08,price_fallback
2018-10-09,price_fallback
2018-10-10,price_fallback
2018-10-11,price_fallback
2018-10-12,price_fallback
2018-10-15,price_fallback
2018-10-16,price_fallback
2018-10-17,price_fallback
2018-10-18,price_fallback
2018-10-19,price_fallback
2018-10-22,price_fallback
2018-10-23,price_fallback
2018-10-24,price_fallback
2018-10-25,price_fallback
2018-10-26,price_fallback
2018-10-29,price_fallback
2018-10-30,price_fallback
2018-10-31,price_fallback
2018-11-01,price_fallback
2018-11-02,price_fallback
2018-11-05,price_fallback
2018-11-06,price_fallback
2018-11-07,price_fallback
2018-11-08,price_fallback
2018-11-09,price_fallback
2018-11-12,price_fallback
2018-11-13,price_fallback
2018-11-14,price_fallback
2018-11-15,price_fallback
2018-11-16,price_fallback
2018-11-19,price_fallback
2018-11-20,price_fallback
2018-11-21,price_fallback
2018-11-22,price_fallback
2018-11-23,price_fallback
2018-11-26,price_fallback
2018-11-27,price_fallback
2018-11-28,price_fallback
