track,date,baseline,candidate
mixed,2018-11-13,cash,512800.SH
mixed,2018-11-14,cash,512800.SH
mixed,2018-11-15,cash,512800.SH
mixed,2018-11-16,cash,512800.SH
mixed,2018-11-19,cash,512800.SH
mixed,2018-11-20,cash,512800.SH
mixed,2018-11-21,cash,512800.SH
mixed,2019-02-28,cash,510880.SH
mixed,2019-03-01,cash,510880.SH
mixed,2019-03-04,cash,510880.SH
mixed,2019-03-05,cash,510880.SH
mixed,2019-03-06,cash,510880.SH
mixed,2019-03-07,cash,510880.SH
mixed,2019-03-08,cash,510880.SH
mixed,2019-06-20,cash,513500.SH
mixed,2019-06-21,cash,513500.SH
mixed,2019-06-24,cash,513500.SH
mixed,2019-07-02,513500.SH,cash
mixed,2019-07-09,cash,513500.SH
mixed,2019-07-10,cash,513500.SH
mixed,2019-07-11,cash,513500.SH
mixed,2019-07-12,cash,513500.SH
mixed,2019-07-15,cash,513500.SH
mixed,2019-07-16,cash,513500.SH
mixed,2019-08-05,cash,513500.SH
mixed,2019-08-06,cash,513500.SH
mixed,2019-08-07,cash,513500.SH
mixed,2019-08-30,cash,159915.SZ
mixed,2019-09-02,cash,159915.SZ
mixed,2019-09-03,cash,159915.SZ
mixed,2019-09-04,cash,159915.SZ
mixed,2019-09-05,cash,159915.SZ
mixed,2019-09-06,cash,159915.SZ
mixed,2019-12-18,cash,513500.SH
mixed,2019-12-27,159915.SZ,159915.SZ|512800.SH
mixed,2020-11-13,cash,159985.SZ
mixed,2021-04-02,cash,513500.SH
mixed,2021-04-29,cash,159941.SZ
mixed,2021-11-18,159865.SZ,159865.SZ|510630.SH
mixed,2021-11-25,159865.SZ|512690.SH,159865.SZ
mixed,2021-11-26,512690.SH,159865.SZ
mixed,2021-11-29,512690.SH,159865.SZ
mixed,2021-11-30,512690.SH,159865.SZ|159869.SZ
mixed,2021-12-01,512690.SH,159869.SZ
mixed,2021-12-02,512690.SH,159869.SZ
mixed,2021-12-03,512690.SH,159869.SZ
mixed,2021-12-06,512690.SH,159869.SZ
mixed,2021-12-07,512690.SH,159869.SZ
mixed,2021-12-08,512690.SH,159869.SZ
mixed,2021-12-09,512690.SH,159869.SZ
mixed,2021-12-10,512690.SH,cash
mixed,2021-12-13,512690.SH,cash
mixed,2021-12-14,512690.SH,cash
mixed,2021-12-15,512690.SH,cash
mixed,2021-12-16,512690.SH,cash
mixed,2021-12-17,512690.SH,cash
mixed,2021-12-20,512690.SH,cash
