symbol,entry_date,exit_date_base,exit_date_top5,net_return_base,net_return_top5,delta_pp
515050.SH,2026-04-08,2026-06-30,2026-07-03,0.616563290185633,0.4660654347759512,-15.049785540968186
159981.SZ,2022-05-30,2022-06-07,2022-06-14,0.0636382396940402,0.02124252020437,-4.23957194896702
512690.SH,2023-02-09,2023-03-09,2023-03-10,0.0264280359844359,0.009452946935309,-1.69750890491269
159865.SZ,2021-11-17,2021-11-25,2021-11-30,-0.0467424492939103,-0.058089395916397,-1.1346946622486704
518880.SH,2025-03-27,2025-05-13,2025-05-16,0.0645342801148594,0.0544354201505874,-1.0098859964271998
159915.SZ,2019-08-20,2019-08-30,2019-09-27,-0.0004472842654315,-0.0049067096833389,-0.44594254179074
513500.SH,2019-11-19,2019-12-17,2019-12-18,0.0156531832441091,0.0146657995992374,-0.09873836448716991
513500.SH,2019-06-13,2019-06-20,2019-06-25,0.0090462986234467,0.0111931780066634,0.21468793832167005
512800.SH,2018-11-06,2018-11-12,2018-11-21,-0.036699200191405,-0.0327811934251999,0.39180067662050944
159985.SZ,2022-10-12,2022-11-30,2022-12-06,0.0409860433278941,0.0612044062228001,2.0218362894906
512400.SH,2024-03-27,2024-04-17,2024-05-20,0.0753167766256621,0.1255870401346563,5.02702635089942
510880.SH,2019-01-28,2019-02-25,2019-03-06,0.1240602531248127,0.1856467679039823,6.15865147791696
159941.SZ,2023-12-07,2024-01-05,2024-02-28,0.0128773496036844,0.1319367365368908,11.90593869332064
