date,symbol,category,core_peers,observed_peers,baseline,observed
2018-07-02,518880.SH,商品,3,1,0.0,0.0
2018-07-02,512010.SH,医药医疗,3,1,0.0,0.0
2018-07-02,512660.SH,高端制造,4,1,0.0,0.0
2019-06-03,518880.SH,商品,3,1,0.3333333333333333,1.0
2019-06-03,512010.SH,医药医疗,3,1,0.0,0.0
2019-06-03,512660.SH,高端制造,4,1,0.25,1.0
2021-06-01,518880.SH,商品,3,3,0.6666666666666666,0.6666666666666666
2021-06-01,512010.SH,医药医疗,3,1,0.3333333333333333,1.0
2021-06-01,512660.SH,高端制造,4,2,0.5,1.0
2023-06-01,518880.SH,商品,3,3,0.0,0.0
2023-06-01,512010.SH,医药医疗,3,2,0.0,0.0
2023-06-01,512660.SH,高端制造,4,3,0.0,0.0
