variant,gate,period,symbol_days,days
baseline,current_normal,2018—20,490,310
baseline,current_normal,2021—22,552,320
baseline,current_normal,2023—24,727,302
baseline,current_normal,2025以后,277,132
baseline,emerging,2018—20,0,0
baseline,emerging,2021—22,0,0
baseline,emerging,2023—24,15,12
baseline,emerging,2025以后,25,23
baseline,quality_extension,2018—20,0,0
baseline,quality_extension,2021—22,0,0
baseline,quality_extension,2023—24,11,11
baseline,quality_extension,2025以后,10,10
baseline,hot_exit_protection,2018—20,0,0
baseline,hot_exit_protection,2021—22,0,0
baseline,hot_exit_protection,2023—24,4699,242
baseline,hot_exit_protection,2025以后,7242,365
baseline,entry_gate,2018—20,110,103
baseline,entry_gate,2021—22,149,118
baseline,entry_gate,2023—24,494,206
baseline,entry_gate,2025以后,311,150
observed_breadth,current_normal,2018—20,490,310
observed_breadth,current_normal,2021—22,552,320
observed_breadth,current_normal,2023—24,727,302
observed_breadth,current_normal,2025以后,277,132
observed_breadth,emerging,2018—20,0,0
observed_breadth,emerging,2021—22,0,0
observed_breadth,emerging,2023—24,15,12
observed_breadth,emerging,2025以后,25,23
observed_breadth,quality_extension,2018—20,0,0
observed_breadth,quality_extension,2021—22,0,0
observed_breadth,quality_extension,2023—24,11,11
observed_breadth,quality_extension,2025以后,10,10
observed_breadth,hot_exit_protection,2018—20,0,0
observed_breadth,hot_exit_protection,2021—22,0,0
observed_breadth,hot_exit_protection,2023—24,4699,242
observed_breadth,hot_exit_protection,2025以后,7242,365
observed_breadth,entry_gate,2018—20,266,214
observed_breadth,entry_gate,2021—22,164,131
observed_breadth,entry_gate,2023—24,499,210
observed_breadth,entry_gate,2025以后,311,150
no_dde,current_normal,2018—20,490,310
no_dde,current_normal,2021—22,552,320
no_dde,current_normal,2023—24,717,301
no_dde,current_normal,2025以后,263,131
no_dde,emerging,2018—20,0,0
no_dde,emerging,2021—22,0,0
no_dde,emerging,2023—24,0,0
no_dde,emerging,2025以后,0,0
no_dde,quality_extension,2018—20,0,0
no_dde,quality_extension,2021—22,0,0
no_dde,quality_extension,2023—24,11,11
no_dde,quality_extension,2025以后,10,10
no_dde,hot_exit_protection,2018—20,0,0
no_dde,hot_exit_protection,2021—22,0,0
no_dde,hot_exit_protection,2023—24,0,0
no_dde,hot_exit_protection,2025以后,0,0
no_dde,entry_gate,2018—20,110,103
no_dde,entry_gate,2021—22,149,118
no_dde,entry_gate,2023—24,472,205
no_dde,entry_gate,2025以后,273,137
specific_mapping,current_normal,2018—20,490,310
specific_mapping,current_normal,2021—22,552,320
specific_mapping,current_normal,2023—24,720,301
specific_mapping,current_normal,2025以后,267,132
specific_mapping,emerging,2018—20,0,0
specific_mapping,emerging,2021—22,0,0
specific_mapping,emerging,2023—24,14,14
specific_mapping,emerging,2025以后,35,27
specific_mapping,quality_extension,2018—20,0,0
specific_mapping,quality_extension,2021—22,0,0
specific_mapping,quality_extension,2023—24,12,12
specific_mapping,quality_extension,2025以后,7,7
specific_mapping,hot_exit_protection,2018—20,0,0
specific_mapping,hot_exit_protection,2021—22,0,0
specific_mapping,hot_exit_protection,2023—24,2928,242
specific_mapping,hot_exit_protection,2025以后,4075,371
specific_mapping,entry_gate,2018—20,110,103
specific_mapping,entry_gate,2021—22,149,118
specific_mapping,entry_gate,2023—24,489,205
specific_mapping,entry_gate,2025以后,308,149
live_schema,current_normal,2018—20,490,310
live_schema,current_normal,2021—22,552,320
live_schema,current_normal,2023—24,717,301
live_schema,current_normal,2025以后,263,131
live_schema,emerging,2018—20,0,0
live_schema,emerging,2021—22,0,0
live_schema,emerging,2023—24,0,0
live_schema,emerging,2025以后,0,0
live_schema,quality_extension,2018—20,0,0
live_schema,quality_extension,2021—22,0,0
live_schema,quality_extension,2023—24,12,12
live_schema,quality_extension,2025以后,7,7
live_schema,hot_exit_protection,2018—20,0,0
live_schema,hot_exit_protection,2021—22,0,0
live_schema,hot_exit_protection,2023—24,0,0
live_schema,hot_exit_protection,2025以后,0,0
live_schema,entry_gate,2018—20,110,103
live_schema,entry_gate,2021—22,149,118
live_schema,entry_gate,2023—24,473,205
live_schema,entry_gate,2025以后,270,136
simple_price,current_normal,2018—20,530,321
simple_price,current_normal,2021—22,606,333
simple_price,current_normal,2023—24,816,310
simple_price,current_normal,2025以后,320,145
simple_price,emerging,2018—20,0,0
simple_price,emerging,2021—22,0,0
simple_price,emerging,2023—24,0,0
simple_price,emerging,2025以后,0,0
simple_price,quality_extension,2018—20,0,0
simple_price,quality_extension,2021—22,0,0
simple_price,quality_extension,2023—24,0,0
simple_price,quality_extension,2025以后,0,0
simple_price,hot_exit_protection,2018—20,0,0
simple_price,hot_exit_protection,2021—22,0,0
simple_price,hot_exit_protection,2023—24,0,0
simple_price,hot_exit_protection,2025以后,0,0
simple_price,entry_gate,2018—20,530,321
simple_price,entry_gate,2021—22,606,333
simple_price,entry_gate,2023—24,816,310
simple_price,entry_gate,2025以后,320,145
