variant,date,baseline,alternative
observed_breadth,2018-10-15,512800.SH,518880.SH|512800.SH
observed_breadth,2018-10-16,512800.SH,518880.SH|512800.SH
observed_breadth,2018-10-17,cash,518880.SH
observed_breadth,2018-10-18,cash,518880.SH
observed_breadth,2018-10-19,cash,518880.SH
observed_breadth,2018-10-22,cash,518880.SH
observed_breadth,2018-10-23,cash,518880.SH
observed_breadth,2018-10-24,cash,518880.SH
observed_breadth,2018-10-25,cash,518880.SH
observed_breadth,2018-10-26,cash,518880.SH
observed_breadth,2018-10-29,cash,518880.SH
observed_breadth,2018-10-30,cash,518880.SH
observed_breadth,2018-10-31,cash,518880.SH
observed_breadth,2018-11-01,cash,518880.SH
observed_breadth,2018-11-02,cash,518880.SH
observed_breadth,2018-11-05,cash,518880.SH
observed_breadth,2018-11-06,512800.SH,518880.SH
observed_breadth,2018-11-07,512800.SH,518880.SH
observed_breadth,2018-11-08,512800.SH,518880.SH
observed_breadth,2018-11-09,512800.SH,518880.SH
observed_breadth,2018-11-12,512800.SH,518880.SH
observed_breadth,2018-11-13,cash,512800.SH
observed_breadth,2018-11-14,cash,512800.SH
observed_breadth,2018-11-15,cash,512800.SH
observed_breadth,2018-11-16,cash,512800.SH
observed_breadth,2018-11-19,cash,512800.SH
observed_breadth,2018-11-20,cash,512800.SH
observed_breadth,2018-11-21,cash,512800.SH
observed_breadth,2018-11-30,cash,518880.SH
observed_breadth,2018-12-03,cash,518880.SH
observed_breadth,2018-12-12,cash,518880.SH
observed_breadth,2018-12-13,cash,518880.SH
observed_breadth,2018-12-14,cash,518880.SH
observed_breadth,2018-12-17,cash,518880.SH
observed_breadth,2018-12-18,cash,518880.SH
observed_breadth,2018-12-19,cash,518880.SH
observed_breadth,2018-12-20,cash,518880.SH
observed_breadth,2018-12-21,cash,518880.SH
observed_breadth,2018-12-24,cash,518880.SH
observed_breadth,2018-12-25,cash,518880.SH
observed_breadth,2018-12-26,cash,518880.SH
observed_breadth,2018-12-27,cash,518880.SH
observed_breadth,2018-12-28,cash,518880.SH
observed_breadth,2019-01-02,cash,518880.SH
observed_breadth,2019-01-03,cash,518880.SH
observed_breadth,2019-01-04,cash,518880.SH
observed_breadth,2019-01-07,cash,518880.SH
observed_breadth,2019-01-08,cash,518880.SH
observed_breadth,2019-01-09,cash,518880.SH
observed_breadth,2019-01-10,cash,518880.SH
observed_breadth,2019-01-11,cash,518880.SH
observed_breadth,2019-01-14,cash,518880.SH
observed_breadth,2019-01-15,cash,518880.SH
observed_breadth,2019-01-24,cash,518880.SH
observed_breadth,2019-05-28,cash,518880.SH
observed_breadth,2019-05-29,cash,518880.SH
observed_breadth,2019-05-30,cash,518880.SH
observed_breadth,2019-05-31,cash,518880.SH
observed_breadth,2019-06-03,cash,518880.SH
observed_breadth,2019-06-04,cash,518880.SH
observed_breadth,2019-06-05,cash,518880.SH
observed_breadth,2019-06-06,cash,518880.SH
observed_breadth,2019-06-10,cash,518880.SH
observed_breadth,2019-06-11,cash,518880.SH
observed_breadth,2019-06-12,cash,518880.SH
observed_breadth,2019-06-13,513500.SH,518880.SH
observed_breadth,2019-06-14,513500.SH,518880.SH
observed_breadth,2019-06-17,513500.SH,518880.SH
observed_breadth,2019-06-18,513500.SH,518880.SH
observed_breadth,2019-06-19,513500.SH,518880.SH
observed_breadth,2019-06-20,cash,518880.SH
observed_breadth,2019-06-21,cash,518880.SH
observed_breadth,2019-06-24,cash,518880.SH
observed_breadth,2019-06-25,cash,518880.SH
observed_breadth,2019-06-26,cash,518880.SH
observed_breadth,2019-06-27,cash,518880.SH
observed_breadth,2019-06-28,cash,518880.SH
observed_breadth,2019-07-01,cash,518880.SH
observed_breadth,2019-07-10,cash,518880.SH
observed_breadth,2019-07-11,cash,518880.SH
observed_breadth,2019-07-12,cash,518880.SH
observed_breadth,2019-07-15,cash,518880.SH
observed_breadth,2019-07-16,cash,518880.SH
observed_breadth,2019-07-17,513500.SH,518880.SH
observed_breadth,2019-07-18,513500.SH,518880.SH
observed_breadth,2019-07-19,513500.SH,518880.SH
observed_breadth,2019-07-22,513500.SH,518880.SH
observed_breadth,2019-07-23,513500.SH,518880.SH
observed_breadth,2019-07-24,513500.SH,518880.SH
observed_breadth,2019-07-25,513500.SH,518880.SH
observed_breadth,2019-07-26,513500.SH,518880.SH
observed_breadth,2019-07-29,513500.SH,518880.SH
observed_breadth,2019-07-30,513500.SH,518880.SH
observed_breadth,2019-07-31,513500.SH,518880.SH
observed_breadth,2019-08-01,513500.SH,518880.SH
observed_breadth,2019-08-02,513500.SH,518880.SH
observed_breadth,2019-08-05,cash,518880.SH
observed_breadth,2019-08-06,cash,518880.SH
observed_breadth,2019-08-07,cash,518880.SH
observed_breadth,2019-08-08,cash,518880.SH
observed_breadth,2019-08-09,cash,518880.SH
observed_breadth,2019-08-12,cash,518880.SH
observed_breadth,2019-08-13,cash,518880.SH
observed_breadth,2019-08-14,cash,518880.SH
observed_breadth,2019-08-15,cash,518880.SH
observed_breadth,2019-08-16,cash,518880.SH
observed_breadth,2019-08-19,cash,518880.SH
observed_breadth,2019-08-20,159915.SZ,518880.SH
observed_breadth,2019-08-21,159915.SZ,518880.SH
observed_breadth,2019-08-22,159915.SZ,518880.SH
observed_breadth,2019-08-23,159915.SZ,518880.SH
observed_breadth,2019-08-26,159915.SZ,518880.SH
observed_breadth,2019-08-27,159915.SZ,518880.SH
observed_breadth,2019-08-28,159915.SZ,518880.SH
observed_breadth,2019-08-29,159915.SZ,518880.SH
observed_breadth,2019-08-30,cash,518880.SH
observed_breadth,2019-09-02,cash,518880.SH
observed_breadth,2019-09-03,cash,518880.SH
observed_breadth,2019-09-04,cash,518880.SH
observed_breadth,2019-09-05,cash,518880.SH
observed_breadth,2019-09-06,cash,518880.SH
observed_breadth,2019-10-11,cash,512010.SH
observed_breadth,2019-10-14,cash,512010.SH
observed_breadth,2019-10-15,cash,512010.SH
observed_breadth,2019-10-16,cash,512010.SH
observed_breadth,2019-10-17,cash,512010.SH
observed_breadth,2019-10-18,cash,512010.SH
observed_breadth,2019-10-21,cash,512010.SH
observed_breadth,2019-10-22,cash,512010.SH
observed_breadth,2019-10-23,cash,512010.SH
observed_breadth,2019-10-24,cash,512010.SH
observed_breadth,2019-10-25,cash,512010.SH
observed_breadth,2019-10-28,cash,512010.SH
observed_breadth,2019-10-29,cash,512010.SH
observed_breadth,2019-10-30,cash,512010.SH
observed_breadth,2019-10-31,cash,512010.SH
observed_breadth,2019-11-01,159915.SZ,512010.SH
observed_breadth,2019-11-04,159915.SZ,512010.SH
observed_breadth,2019-11-05,159915.SZ,512010.SH
observed_breadth,2019-11-06,159915.SZ,512010.SH
observed_breadth,2019-11-07,159915.SZ,512010.SH
observed_breadth,2019-11-08,159915.SZ,512010.SH
observed_breadth,2019-11-11,159915.SZ,512010.SH
observed_breadth,2019-11-12,159915.SZ,512010.SH
observed_breadth,2019-11-13,159915.SZ,512010.SH
observed_breadth,2019-11-14,159915.SZ,512010.SH
observed_breadth,2019-11-15,159915.SZ,512010.SH
observed_breadth,2019-11-18,cash,512010.SH
observed_breadth,2019-11-19,513500.SH,512010.SH
observed_breadth,2019-11-20,513500.SH,512010.SH
observed_breadth,2019-11-21,513500.SH,512010.SH
observed_breadth,2019-11-22,513500.SH,512010.SH
observed_breadth,2019-11-25,513500.SH,512010.SH
observed_breadth,2019-11-26,513500.SH,513500.SH|512010.SH
observed_breadth,2019-11-27,513500.SH,513500.SH|512010.SH
observed_breadth,2019-11-28,513500.SH,513500.SH|512010.SH
observed_breadth,2019-12-18,cash,513500.SH
observed_breadth,2019-12-27,159915.SZ,159915.SZ|512800.SH
observed_breadth,2020-02-03,cash,512400.SH
observed_breadth,2020-03-13,cash,512660.SH
observed_breadth,2020-03-16,cash,512660.SH
observed_breadth,2020-03-30,cash,512010.SH
observed_breadth,2020-04-10,cash,512010.SH
observed_breadth,2020-04-13,cash,512010.SH
observed_breadth,2020-04-14,cash,512010.SH
observed_breadth,2020-04-15,cash,512010.SH
observed_breadth,2020-04-16,cash,512010.SH
observed_breadth,2020-04-17,cash,512010.SH
observed_breadth,2020-04-20,cash,512010.SH
observed_breadth,2020-04-21,cash,512010.SH
observed_breadth,2020-04-22,cash,512010.SH
observed_breadth,2020-04-23,cash,512010.SH
observed_breadth,2020-04-24,cash,512010.SH
observed_breadth,2020-04-27,cash,512010.SH
observed_breadth,2020-04-28,cash,512010.SH
observed_breadth,2020-05-08,cash,515050.SH
observed_breadth,2020-05-11,cash,515050.SH
observed_breadth,2020-05-12,cash,515050.SH
observed_breadth,2020-05-13,cash,515050.SH
observed_breadth,2020-05-14,cash,515050.SH
observed_breadth,2020-05-15,cash,515050.SH
observed_breadth,2020-05-18,cash,515050.SH
observed_breadth,2020-05-19,cash,515050.SH
observed_breadth,2020-05-20,cash,515050.SH
observed_breadth,2020-05-25,cash,512010.SH
observed_breadth,2020-05-26,cash,512010.SH
observed_breadth,2020-05-27,cash,512010.SH
observed_breadth,2020-05-28,cash,512010.SH
observed_breadth,2020-05-29,cash,512010.SH
observed_breadth,2020-06-01,cash,512010.SH
observed_breadth,2020-06-02,cash,512010.SH
observed_breadth,2020-06-03,cash,512010.SH
observed_breadth,2020-06-04,518880.SH,512010.SH
observed_breadth,2020-06-05,518880.SH,512010.SH
observed_breadth,2020-06-08,159941.SZ,512010.SH
observed_breadth,2020-06-09,159941.SZ,512010.SH
observed_breadth,2020-06-10,159941.SZ,512010.SH
observed_breadth,2020-06-11,159941.SZ,512010.SH
observed_breadth,2020-06-12,159941.SZ,512010.SH|513520.SH
observed_breadth,2020-06-15,159941.SZ,512010.SH|513520.SH
observed_breadth,2020-06-16,159941.SZ,513520.SH
observed_breadth,2020-06-17,159941.SZ,513520.SH
observed_breadth,2020-06-18,159941.SZ,513520.SH
observed_breadth,2020-06-19,159941.SZ,513520.SH
observed_breadth,2020-06-22,159941.SZ,513520.SH
observed_breadth,2020-06-23,159941.SZ,513520.SH
observed_breadth,2020-06-24,159941.SZ,513520.SH
observed_breadth,2020-06-29,159941.SZ,513520.SH
observed_breadth,2020-06-30,cash,513520.SH
observed_breadth,2020-07-01,cash,513520.SH
observed_breadth,2020-07-02,cash,513520.SH
observed_breadth,2020-07-03,cash,513520.SH
observed_breadth,2020-11-13,cash,159985.SZ
observed_breadth,2021-04-02,cash,513500.SH|513090.SH
observed_breadth,2021-04-06,cash,513090.SH
observed_breadth,2021-04-07,cash,513090.SH
observed_breadth,2021-04-08,cash,513090.SH
observed_breadth,2021-04-09,159941.SZ,513090.SH
observed_breadth,2021-04-12,159941.SZ,513090.SH
observed_breadth,2021-04-29,cash,159941.SZ
observed_breadth,2021-06-07,cash,512010.SH
observed_breadth,2021-06-08,512760.SH,512010.SH
observed_breadth,2021-06-09,512760.SH,512010.SH
observed_breadth,2021-06-10,512760.SH,512010.SH
observed_breadth,2021-06-11,512760.SH,512010.SH
observed_breadth,2021-06-15,512760.SH,512010.SH
observed_breadth,2021-06-16,512760.SH,cash
observed_breadth,2021-11-18,159865.SZ,510630.SH|159865.SZ
observed_breadth,2021-12-28,cash,515050.SH
observed_breadth,2021-12-29,cash,515050.SH
observed_breadth,2021-12-30,cash,515050.SH
observed_breadth,2021-12-31,cash,515050.SH
observed_breadth,2022-01-04,cash,515050.SH
observed_breadth,2022-01-05,cash,515050.SH
observed_breadth,2022-01-06,cash,515050.SH
observed_breadth,2022-02-10,cash,516970.SH
observed_breadth,2022-04-07,cash,159981.SZ
observed_breadth,2022-12-05,513200.SH,159985.SZ|513200.SH
observed_breadth,2023-02-02,cash,513200.SH
observed_breadth,2023-10-12,cash,512010.SH
observed_breadth,2023-10-13,cash,512010.SH
observed_breadth,2023-10-16,cash,512010.SH
observed_breadth,2024-06-14,159941.SZ,159941.SZ|513530.SH
observed_breadth,2026-01-13,cash,512070.SH
observed_breadth,2026-04-02,cash,159611.SZ
no_dde,2024-01-15,518880.SH,159941.SZ
no_dde,2024-07-31,512800.SH,512760.SH
no_dde,2024-08-01,512800.SH,512760.SH
no_dde,2024-08-02,512800.SH,512760.SH
no_dde,2024-08-05,512800.SH,512760.SH
no_dde,2024-08-06,512800.SH,cash
no_dde,2024-08-07,512800.SH,cash
no_dde,2024-09-25,518880.SH,159851.SZ
no_dde,2024-11-19,159851.SZ,cash
no_dde,2024-11-20,159851.SZ,cash
no_dde,2024-11-21,159851.SZ,cash
no_dde,2024-11-22,159851.SZ,cash
no_dde,2024-11-25,159851.SZ,cash
no_dde,2024-11-26,159851.SZ,cash
no_dde,2024-11-27,159851.SZ,cash
no_dde,2024-11-28,159851.SZ,cash
no_dde,2024-11-29,159851.SZ,cash
no_dde,2024-12-02,159851.SZ,cash
no_dde,2024-12-03,159851.SZ,cash
no_dde,2024-12-04,159851.SZ,cash
no_dde,2024-12-05,159851.SZ,cash
no_dde,2024-12-06,159851.SZ,cash
no_dde,2024-12-09,159851.SZ,cash
no_dde,2024-12-10,159851.SZ,cash
no_dde,2025-01-23,512800.SH,513520.SH
no_dde,2025-01-24,512800.SH,513520.SH
no_dde,2025-01-27,512800.SH,513500.SH
no_dde,2025-02-05,512800.SH,513500.SH
no_dde,2025-02-06,512800.SH,513500.SH
no_dde,2025-02-07,512800.SH,cash
no_dde,2025-02-12,513200.SH,cash
no_dde,2025-02-13,513200.SH,cash
no_dde,2025-02-14,513200.SH,cash
no_dde,2025-02-17,513200.SH,cash
no_dde,2025-05-16,513200.SH,513530.SH
no_dde,2025-05-19,513200.SH,513530.SH
no_dde,2025-05-20,513200.SH,513530.SH
no_dde,2025-05-21,513200.SH,513530.SH
no_dde,2025-05-22,513200.SH,513530.SH
no_dde,2025-05-23,513200.SH,513530.SH
no_dde,2025-05-26,513200.SH,513530.SH
no_dde,2025-05-27,513200.SH,513530.SH
no_dde,2025-05-28,513200.SH|512800.SH,513530.SH
no_dde,2025-05-29,512800.SH,513530.SH
no_dde,2025-05-30,512800.SH,513530.SH
no_dde,2025-06-03,512800.SH,513530.SH
no_dde,2025-06-04,512800.SH,513530.SH
no_dde,2025-06-05,512800.SH,513530.SH
no_dde,2025-06-06,512800.SH,513530.SH
no_dde,2025-06-09,512800.SH,513530.SH
no_dde,2025-06-10,512800.SH,513530.SH
no_dde,2025-06-11,512800.SH,513530.SH
no_dde,2025-06-12,512800.SH,513530.SH
no_dde,2025-06-13,512800.SH,513530.SH
no_dde,2025-06-16,512800.SH,513530.SH|512800.SH
no_dde,2025-06-17,512800.SH,513530.SH
no_dde,2025-06-18,512800.SH,513530.SH
no_dde,2025-06-19,512800.SH,513530.SH
no_dde,2025-06-20,512800.SH,159869.SZ
no_dde,2025-06-23,512800.SH,159869.SZ
