date,regime,rows,dde_present
2024-01-02,keyword_proxy,62,62
2024-01-03,keyword_proxy,45,45
2024-01-04,keyword_proxy,45,45
2024-01-05,keyword_proxy,29,29
2024-01-08,keyword_proxy,35,35
2024-01-09,keyword_proxy,48,48
2024-01-10,keyword_proxy,42,42
2024-01-11,keyword_proxy,59,59
2024-01-12,keyword_proxy,28,28
2024-01-15,keyword_proxy,43,43
2024-01-16,keyword_proxy,35,35
2024-01-17,keyword_proxy,39,39
2024-01-18,keyword_proxy,41,41
2024-01-19,keyword_proxy,46,46
2024-01-22,keyword_proxy,22,22
2024-01-23,keyword_proxy,51,51
2024-01-24,keyword_proxy,82,82
2024-01-25,keyword_proxy,107,107
2024-01-26,keyword_proxy,64,64
2024-01-29,keyword_proxy,34,34
2024-01-30,keyword_proxy,24,24
2024-01-31,keyword_proxy,29,29
2024-02-01,keyword_proxy,31,31
2024-02-02,keyword_proxy,27,27
2024-02-05,keyword_proxy,17,17
2024-02-06,keyword_proxy,136,136
2024-02-07,keyword_proxy,97,97
2024-02-08,keyword_proxy,517,517
2024-02-19,keyword_proxy,270,270
2024-02-20,keyword_proxy,154,154
2024-02-21,keyword_proxy,154,154
2024-02-22,keyword_proxy,96,96
2024-02-23,keyword_proxy,141,141
2024-02-26,keyword_proxy,123,123
2024-02-27,keyword_proxy,112,112
2024-02-28,keyword_proxy,33,33
2024-02-29,keyword_proxy,114,114
2024-03-01,keyword_proxy,80,80
2024-03-04,keyword_proxy,87,87
2024-03-05,keyword_proxy,58,58
2024-03-06,keyword_proxy,104,104
2024-03-07,keyword_proxy,69,69
2024-03-08,keyword_proxy,75,75
2024-03-11,keyword_proxy,98,98
2024-03-12,keyword_proxy,79,79
2024-03-13,keyword_proxy,61,61
2024-03-14,keyword_proxy,51,51
2024-03-15,keyword_proxy,84,84
2024-03-18,keyword_proxy,92,92
2024-03-19,keyword_proxy,68,68
2024-03-20,keyword_proxy,87,87
2024-03-21,keyword_proxy,79,79
2024-03-22,keyword_proxy,66,66
2024-03-25,keyword_proxy,46,46
2024-03-26,keyword_proxy,63,63
2024-03-27,keyword_proxy,45,45
