gate,dimension,value,rank_cutoff,score_margin,confirmation_days,minimum_hold_days,path_hash,event_count,completed_20d_count,event_years,hit_rate_20d,median_edge_20d,largest_positive_edge_share,total_return,cagr,sharpe,max_drawdown,trade_count,delta_total_return,delta_sharpe,delta_max_drawdown
formal_complete,rank,3.0,3,0.05,2,5,da3e56aad7ac,6,5,4,0.4,-0.04533274029171108,0.9137917853567077,7.7375639511504914,0.3079658839545605,1.2735568691768404,-0.22177024887658947,288.0,2.139592880827978,0.07618591659998097,-0.012707682945675702
formal_complete,rank,5.0,5,0.05,2,5,9634b376ea2f,2,2,1,1.0,0.3351963184472271,0.9137917853567077,8.636409561411659,0.3239249257301313,1.3282026609002637,-0.20906256593091377,283.0,3.0384384910891455,0.1308317083234043,0.0
formal_complete,rank,7.0,7,0.05,2,5,00a49b27aac3,0,0,0,,,,5.597971070322513,0.26324771668052227,1.1973709525768594,-0.20906256593091377,264.0,0.0,0.0,0.0
formal_complete,rank,10.0,10,0.05,2,5,00a49b27aac3,0,0,0,,,,5.597971070322513,0.26324771668052227,1.1973709525768594,-0.20906256593091377,264.0,0.0,0.0,0.0
formal_complete,margin,0.03,5,0.03,2,5,9634b376ea2f,2,2,1,1.0,0.3351963184472271,0.9137917853567077,8.636409561411659,0.3239249257301313,1.3282026609002637,-0.20906256593091377,283.0,3.0384384910891455,0.1308317083234043,0.0
formal_complete,margin,0.05,5,0.05,2,5,9634b376ea2f,2,2,1,1.0,0.3351963184472271,0.9137917853567077,8.636409561411659,0.3239249257301313,1.3282026609002637,-0.20906256593091377,283.0,3.0384384910891455,0.1308317083234043,0.0
formal_complete,margin,0.08,5,0.08,2,5,9634b376ea2f,2,2,1,1.0,0.3351963184472271,0.9137917853567077,8.636409561411659,0.3239249257301313,1.3282026609002637,-0.20906256593091377,283.0,3.0384384910891455,0.1308317083234043,0.0
formal_complete,margin,0.1,5,0.1,2,5,9634b376ea2f,2,2,1,1.0,0.3351963184472271,0.9137917853567077,8.636409561411659,0.3239249257301313,1.3282026609002637,-0.20906256593091377,283.0,3.0384384910891455,0.1308317083234043,0.0
formal_complete,confirm,1.0,5,0.05,1,5,621755090e06,8,7,5,0.42857142857142855,-0.012014164528409088,0.6797597671363418,8.368621981922411,0.31931173257841117,1.3070893969096924,-0.24830390878303765,294.0,2.7706509115998976,0.10971844433283295,-0.039241342852123884
formal_complete,confirm,2.0,5,0.05,2,5,9634b376ea2f,2,2,1,1.0,0.3351963184472271,0.9137917853567077,8.636409561411659,0.3239249257301313,1.3282026609002637,-0.20906256593091377,283.0,3.0384384910891455,0.1308317083234043,0.0
