signal_date,main_strategy_target,expanded_strategy_target,state,expanded_target_is_new_etf,combined_target_count
2018-07-02,CASH,CASH,both_cash,False,0
2018-07-03,CASH,CASH,both_cash,False,0
2018-07-04,CASH,CASH,both_cash,False,0
2018-07-05,CASH,CASH,both_cash,False,0
2018-07-06,CASH,CASH,both_cash,False,0
2018-07-09,CASH,CASH,both_cash,False,0
2018-07-10,CASH,CASH,both_cash,False,0
2018-07-11,CASH,CASH,both_cash,False,0
2018-07-12,CASH,CASH,both_cash,False,0
2018-07-13,CASH,CASH,both_cash,False,0
2018-07-16,CASH,CASH,both_cash,False,0
2018-07-17,CASH,CASH,both_cash,False,0
2018-07-18,CASH,CASH,both_cash,False,0
2018-07-19,CASH,CASH,both_cash,False,0
2018-07-20,CASH,CASH,both_cash,False,0
2018-07-23,CASH,CASH,both_cash,False,0
2018-07-24,CASH,CASH,both_cash,False,0
2018-07-25,CASH,CASH,both_cash,False,0
2018-07-26,CASH,CASH,both_cash,False,0
2018-07-27,CASH,CASH,both_cash,False,0
2018-07-30,CASH,CASH,both_cash,False,0
2018-07-31,CASH,CASH,both_cash,False,0
2018-08-01,CASH,CASH,both_cash,False,0
2018-08-02,CASH,CASH,both_cash,False,0
2018-08-03,CASH,CASH,both_cash,False,0
2018-08-06,CASH,CASH,both_cash,False,0
2018-08-07,CASH,CASH,both_cash,False,0
2018-08-08,CASH,CASH,both_cash,False,0
2018-08-09,CASH,CASH,both_cash,False,0
2018-08-10,CASH,CASH,both_cash,False,0
2018-08-13,CASH,CASH,both_cash,False,0
2018-08-14,CASH,CASH,both_cash,False,0
2018-08-15,CASH,CASH,both_cash,False,0
2018-08-16,CASH,CASH,both_cash,False,0
2018-08-17,CASH,CASH,both_cash,False,0
2018-08-20,CASH,CASH,both_cash,False,0
2018-08-21,CASH,CASH,both_cash,False,0
2018-08-22,CASH,CASH,both_cash,False,0
2018-08-23,CASH,CASH,both_cash,False,0
2018-08-24,CASH,CASH,both_cash,False,0
2018-08-27,CASH,CASH,both_cash,False,0
2018-08-28,CASH,CASH,both_cash,False,0
2018-08-29,CASH,CASH,both_cash,False,0
2018-08-30,CASH,CASH,both_cash,False,0
2018-08-31,CASH,CASH,both_cash,False,0
2018-09-03,CASH,CASH,both_cash,False,0
2018-09-04,CASH,CASH,both_cash,False,0
2018-09-05,CASH,CASH,both_cash,False,0
2018-09-06,CASH,CASH,both_cash,False,0
2018-09-07,CASH,CASH,both_cash,False,0
2018-09-10,CASH,CASH,both_cash,False,0
2018-09-11,CASH,CASH,both_cash,False,0
2018-09-12,CASH,CASH,both_cash,False,0
2018-09-13,CASH,CASH,both_cash,False,0
2018-09-14,CASH,CASH,both_cash,False,0
2018-09-17,CASH,CASH,both_cash,False,0
2018-09-18,CASH,CASH,both_cash,False,0
2018-09-19,CASH,CASH,both_cash,False,0
2018-09-20,512800.SH,512800.SH,same_etf,False,1
2018-09-21,512800.SH,512800.SH,same_etf,False,1
2018-09-25,512800.SH,512800.SH,same_etf,False,1
2018-09-26,512800.SH,512800.SH,same_etf,False,1
2018-09-27,512800.SH,512800.SH,same_etf,False,1
2018-09-28,512800.SH,512800.SH,same_etf,False,1
2018-10-08,512800.SH,512800.SH,same_etf,False,1
2018-10-09,512800.SH,512800.SH,same_etf,False,1
2018-10-10,512800.SH,512800.SH,same_etf,False,1
2018-10-11,CASH,CASH,both_cash,False,0
2018-10-12,CASH,CASH,both_cash,False,0
2018-10-15,CASH,CASH,both_cash,False,0
2018-10-16,CASH,CASH,both_cash,False,0
2018-10-17,CASH,CASH,both_cash,False,0
2018-10-18,CASH,CASH,both_cash,False,0
2018-10-19,CASH,CASH,both_cash,False,0
2018-10-22,CASH,CASH,both_cash,False,0
2018-10-23,CASH,CASH,both_cash,False,0
2018-10-24,CASH,CASH,both_cash,False,0
2018-10-25,CASH,CASH,both_cash,False,0
2018-10-26,CASH,CASH,both_cash,False,0
2018-10-29,CASH,CASH,both_cash,False,0
2018-10-30,CASH,CASH,both_cash,False,0
2018-10-31,CASH,CASH,both_cash,False,0
2018-11-01,CASH,CASH,both_cash,False,0
2018-11-02,CASH,CASH,both_cash,False,0
2018-11-05,512800.SH,512800.SH,same_etf,False,1
2018-11-06,512800.SH,512800.SH,same_etf,False,1
2018-11-07,512800.SH,512800.SH,same_etf,False,1
2018-11-08,512800.SH,512800.SH,same_etf,False,1
2018-11-09,CASH,CASH,both_cash,False,0
2018-11-12,CASH,CASH,both_cash,False,0
2018-11-13,CASH,CASH,both_cash,False,0
2018-11-14,CASH,CASH,both_cash,False,0
2018-11-15,CASH,CASH,both_cash,False,0
2018-11-16,CASH,CASH,both_cash,False,0
2018-11-19,CASH,CASH,both_cash,False,0
2018-11-20,CASH,CASH,both_cash,False,0
2018-11-21,CASH,CASH,both_cash,False,0
2018-11-22,CASH,CASH,both_cash,False,0
2018-11-23,CASH,CASH,both_cash,False,0
2018-11-26,CASH,CASH,both_cash,False,0
2018-11-27,CASH,CASH,both_cash,False,0
2018-11-28,CASH,CASH,both_cash,False,0
2018-11-29,CASH,CASH,both_cash,False,0
2018-11-30,CASH,CASH,both_cash,False,0
2018-12-03,CASH,CASH,both_cash,False,0
2018-12-04,CASH,CASH,both_cash,False,0
2018-12-05,CASH,CASH,both_cash,False,0
2018-12-06,CASH,CASH,both_cash,False,0
2018-12-07,CASH,CASH,both_cash,False,0
2018-12-10,CASH,CASH,both_cash,False,0
2018-12-11,CASH,CASH,both_cash,False,0
2018-12-12,CASH,CASH,both_cash,False,0
2018-12-13,CASH,CASH,both_cash,False,0
2018-12-14,CASH,CASH,both_cash,False,0
2018-12-17,CASH,CASH,both_cash,False,0
2018-12-18,CASH,CASH,both_cash,False,0
2018-12-19,CASH,CASH,both_cash,False,0
2018-12-20,CASH,CASH,both_cash,False,0
2018-12-21,CASH,CASH,both_cash,False,0
2018-12-24,CASH,CASH,both_cash,False,0
2018-12-25,CASH,CASH,both_cash,False,0
2018-12-26,CASH,CASH,both_cash,False,0
2018-12-27,CASH,CASH,both_cash,False,0
2018-12-28,CASH,CASH,both_cash,False,0
2019-01-02,CASH,CASH,both_cash,False,0
2019-01-03,CASH,CASH,both_cash,False,0
2019-01-04,CASH,CASH,both_cash,False,0
2019-01-07,CASH,CASH,both_cash,False,0
2019-01-08,CASH,CASH,both_cash,False,0
2019-01-09,CASH,CASH,both_cash,False,0
