signal_date,execution_date,main_symbol,expanded_symbol,main_actual_weight_close,expanded_actual_weight_close,both_positions_present
2021-11-16,2021-11-17,159865.SZ,512980.SH,0.7932301300557316,0.20230041147993819,True
2021-11-17,2021-11-18,159865.SZ,512980.SH,0.797481124844321,0.1980306956665346,True
2021-11-18,2021-11-19,159865.SZ,512980.SH,0.7965067766835822,0.19899481691199286,True
2021-11-19,2021-11-22,159865.SZ,512980.SH,0.7961564046693437,0.19932605767964376,True
2021-11-22,2021-11-23,159865.SZ,512980.SH,0.7934313816060927,0.20200222752942382,True
2021-11-23,2021-11-24,159865.SZ,512980.SH,0.7881835743446017,0.20718653729625183,True
2021-11-24,2021-11-25,512690.SH,512980.SH,0.7985152951068376,0.20022541239529987,True
2021-11-25,2021-11-26,512690.SH,512980.SH,0.799931314402727,0.19880178605501903,True
2021-11-26,2021-11-29,512690.SH,512980.SH,0.8034746226898081,0.19526094542965963,True
2021-11-29,2021-11-30,512690.SH,512980.SH,0.8001570706633612,0.19855370458539037,True
2021-11-30,2021-12-01,512690.SH,512980.SH,0.7982896687344606,0.20042966532582115,True
2021-12-01,2021-12-02,512690.SH,512980.SH,0.8035726312920957,0.1951533454223116,True
2021-12-02,2021-12-03,512690.SH,512980.SH,0.8079964784789846,0.19076983278506005,True
2021-12-03,2021-12-06,512690.SH,512980.SH,0.8094989667541961,0.18926378017286563,True
2024-01-04,2024-01-05,518880.SH,513520.SH,0.7951333948711986,0.19700273829019382,True
2024-01-05,2024-01-08,518880.SH,513520.SH,0.7915171738569573,0.20063115534200202,True
2024-01-08,2024-01-09,518880.SH,513520.SH,0.7862463965998437,0.20595253998736066,True
2024-01-09,2024-01-10,518880.SH,513520.SH,0.7841747604279237,0.20801448886212462,True
2024-01-10,2024-01-11,518880.SH,513520.SH,0.7766928090426449,0.21557096401435363,True
2024-01-11,2024-01-12,518880.SH,513520.SH,0.7760990662761119,0.21619557848011847,True
2024-01-12,2024-01-15,518880.SH,513520.SH,0.7693708795775261,0.22303469925316627,True
2024-01-15,2024-01-16,518880.SH,513520.SH,0.7769082581141775,0.21542947869261903,True
2024-01-16,2024-01-17,518880.SH,513520.SH,0.7769244552388177,0.21533701051274012,True
2024-01-17,2024-01-18,518880.SH,513520.SH,0.7760136283707967,0.2162317924683031,True
2024-01-18,2024-01-19,518880.SH,513520.SH,0.7755259547532904,0.21676940537961578,True
2024-01-19,2024-01-22,518880.SH,513520.SH,0.7643765753156967,0.2279999961331592,True
2024-01-22,2024-01-23,513500.SH,513520.SH,0.7845463282344148,0.20765259136831515,True
2024-01-23,2024-01-24,513500.SH,513520.SH,0.7966449648064069,0.19551882905179907,True
2024-01-24,2024-01-25,513500.SH,513520.SH,0.8086604978911006,0.1833469085944609,True
2024-01-25,2024-01-26,512800.SH,513520.SH,0.8051907774927919,0.18891045580704247,True
2024-01-26,2024-01-29,512800.SH,513520.SH,0.8018198384280316,0.19235816516720936,True
2024-01-29,2024-01-30,512800.SH,513520.SH,0.7930285561819086,0.20115136517545762,True
2024-01-30,2024-01-31,512800.SH,513520.SH,0.801851810372733,0.19226335665406805,True
2024-01-31,2024-02-01,512800.SH,513520.SH,0.8006665709988746,0.19342553145198105,True
2024-02-01,2024-02-02,512800.SH,513520.SH,0.7993599424831195,0.19474180121877066,True
2024-02-02,2024-02-05,512800.SH,513520.SH,0.8014299570636564,0.19274054158965864,True
2024-02-05,2024-02-06,512800.SH,513520.SH,0.8074670845855465,0.18671120329949978,True
2024-02-06,2024-02-07,512800.SH,513520.SH,0.8091516417784376,0.18496269030530174,True
2024-07-29,2024-07-30,512800.SH,513520.SH,0.8020434264813948,0.19252752054699807,True
2024-07-30,2024-07-31,512800.SH,513520.SH,0.7993819771657288,0.19519850414208995,True
2024-07-31,2024-08-01,512800.SH,512760.SH,0.7997783667266227,0.19947524422174492,True
2024-08-01,2024-08-02,512800.SH,512760.SH,0.8035666794311672,0.19567985868936985,True
2024-08-02,2024-08-05,512800.SH,512760.SH,0.8090185290551558,0.19021567266388753,True
2024-08-16,2024-08-19,518880.SH,513520.SH,0.7812601217943401,0.19196773988865876,True
2024-08-19,2024-08-20,518880.SH,513520.SH,0.7777901635529701,0.1955566062880169,True
2024-08-20,2024-08-21,518880.SH,513520.SH,0.7784386792408343,0.1950014922822264,True
2024-08-21,2024-08-22,518880.SH,513520.SH,0.7769882856701743,0.19643417049964718,True
2024-08-22,2024-08-23,518880.SH,513520.SH,0.7774059720111149,0.1959104029630073,True
2024-08-23,2024-08-26,518880.SH,513520.SH,0.7791797243291736,0.19423996335251126,True
2024-08-26,2024-08-27,518880.SH,513520.SH,0.7795634591261906,0.1938239154051418,True
2024-08-27,2024-08-28,518880.SH,513520.SH,0.778665427615717,0.19472375195383046,True
2024-08-28,2024-08-29,518880.SH,513520.SH,0.7803068476345502,0.19305996150526977,True
2024-08-29,2024-08-30,518880.SH,513520.SH,0.7790884001913276,0.1942573940906617,True
2024-08-30,2024-09-02,518880.SH,513520.SH,0.7789355994863381,0.19426497455122776,True
2024-09-02,2024-09-03,518880.SH,513520.SH,0.7792487423457561,0.19398979370132882,True
2024-09-03,2024-09-04,518880.SH,513520.SH,0.7845722265185121,0.1882960651020632,True
2024-09-04,2024-09-05,518880.SH,513500.SH,0.7869001545193178,0.19414272670252486,True
2024-09-05,2024-09-06,518880.SH,513500.SH,0.7881478782942158,0.1929165689885803,True
2024-09-06,2024-09-09,518880.SH,513500.SH,0.7880458181800072,0.19288280776132136,True
2024-09-09,2024-09-10,518880.SH,513500.SH,0.7899337218238234,0.19107404927718113,True
