variant,signal_date,from_symbol,to_symbol,from_rank,to_rank,score_gap,roc20_gap,confirmation_days,new_minus_old_5d,new_minus_old_10d,new_minus_old_20d
rank5_1d,2021-11-09,510630.SH,159865.SZ,6.0,2.0,0.10926631786737773,0.020803167895815156,1.0,0.002483793255621203,-0.016625169111953886,-0.04533274029171108
rank5_1d,2022-02-21,159981.SZ,515220.SH,8.0,2.0,0.33977366618089466,0.1457769777655069,1.0,-0.019322440756104897,-0.058452480320147604,-0.05872145018204433
rank5_1d,2022-08-23,159941.SZ,159915.SZ,19.0,5.0,0.2002528794629984,-0.03389452092302436,1.0,-0.04161527886206162,-0.039751286304815836,-0.09574412020280298
rank5_1d,2022-09-08,159865.SZ,510880.SH,11.0,3.0,0.11613406139326687,0.05062534389593276,1.0,-0.012474792298383552,0.04991567031400934,-0.031538824244813024
rank5_1d,2023-05-22,510880.SH,159611.SZ,7.0,3.0,0.07878240949572546,0.04941311065773868,1.0,0.035046872224724135,0.011030509953364742,0.003502403287905409
rank5_1d,2024-01-12,518880.SH,159941.SZ,6.0,2.0,0.12562302175544093,-0.002755460360494677,1.0,0.04738490352504687,0.039735675824899674,0.0693620603984485
rank5_1d,2024-02-22,512800.SH,513530.SH,6.0,5.0,0.0007057489528647931,0.01437837081083515,1.0,-0.0138095022630631,-0.0169296524775725,-0.001926002510950764
rank5_1d,2024-02-29,513530.SH,510880.SH,7.0,3.0,0.07523615510130321,0.03218844101444707,1.0,0.02173424797482837,-0.022842072112861045,0.014068516504322837
rank5_1d,2024-03-14,515050.SH,512400.SH,6.0,1.0,0.05708459583965009,-0.0689945116800239,1.0,-0.013153848158412806,0.04283801892232142,0.1658198672349095
rank5_1d,2024-09-24,518880.SH,159851.SZ,7.0,2.0,0.12577819812702484,0.11920457768146209,1.0,0.5439962281565468,0.38760154935675484,0.49921026765800103
rank5_1d,2025-01-13,512800.SH,159981.SZ,8.0,2.0,0.08934988612667444,0.0207918865890242,1.0,-0.03234175418515106,-0.07869554267966417,-0.08237343744125014
rank5_1d,2025-01-20,159981.SZ,513500.SH,8.0,2.0,0.12879817798393323,-0.0013666704780757044,1.0,0.020749828252892843,-0.0018533743757933596,-0.012014164528409088
rank5_1d,2026-07-29,159985.SZ,512800.SH,7.0,1.0,0.11214647164750419,0.04466192911339939,1.0,,,
rank5_2d,2022-08-25,159941.SZ,159865.SZ,7.0,3.0,0.15872594539816343,-0.0036957088475695343,2.0,0.04934480241045103,0.010140011027367501,-0.007765798721258821
rank5_2d,2022-09-14,159865.SZ,510880.SH,8.0,3.0,0.1029072259000795,0.03619691244228873,2.0,0.0252462553893269,0.028681101026376,-0.009634689024697218
rank5_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2.0,0.06531825913870459,0.06473168347678382,0.057793352336679815
