variant,label,event_count,completed_20d_count,event_years,hit_rate_20d,median_edge_20d,mean_edge_20d,largest_positive_edge_share,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,delta_total_return,delta_sharpe,delta_max_drawdown,criteria_passed,universal_pass
top1_gap5_1d,仅榜首领先5点，1日,3,2,2,1.0,0.3892095758963419,0.3892095758963419,0.7869786902685659,8.636640185094064,0.3239288500365445,0.24030384131691873,1.3319559315708536,2.3377687007415715,-0.20906256593091377,1.5494349674421823,16.48646386625205,281.0,0.5406928430229816,7706.607394589036,41453.341083855616,3.0,3.0,0.0,127.0,0.015,9570.69863013701,2949.0,1548.0400000000027,3.038669114771551,0.13458497899399413,0.0,5,False
rank5_1d,掉出前5，有更强者即换,13,12,6,0.4166666666666667,-0.006970083519679926,0.03535936464013382,0.6638760035490696,7.1438463376572,0.29661574853054384,0.24469067946245096,1.2240528996638298,2.10891298774949,-0.3477555937173529,0.8529431413592897,18.401682821144746,302.0,0.536328628944979,7349.54226500112,39665.621169515834,3.0,3.0,0.0,130.0,0.015,8695.931506849325,2949.0,1409.9400000000057,1.5458752673346865,0.02668194708697036,-0.1386930277864391,4,False
gap3_1d,前5外＋领先3点，1日,12,11,6,0.36363636363636365,-0.027730104392893473,0.034949068845030934,0.676533299768254,7.054882222980451,0.2948529622803304,0.24494343502525423,1.2172702078732043,2.095914986413104,-0.3477555937173529,0.8478741035578556,18.31723995794446,301.0,0.5366289394510644,7287.776387686134,39325.984250364316,3.0,3.0,0.0,130.0,0.015,8641.890410958911,2949.0,1402.1100000000104,1.4569111526579377,0.019899255296344842,-0.1386930277864391,4,False
gap5_1d,前5外＋领先5点，1日,11,10,6,0.4,-0.021776494386611056,0.041216986168823376,0.676533299768254,7.135649478229931,0.296454038771488,0.24483063849867492,1.2229662580689995,2.1050418054032622,-0.3477555937173529,0.852478131559369,17.97610234125439,292.0,0.5369790193256394,7218.6974823463715,38775.162254313815,3.0,3.0,0.0,125.0,0.015,8679.205479452072,2949.0,1407.9000000000062,1.5376784079074177,0.025595305492140064,-0.1386930277864391,4,False
rank5_2d,掉出前5，强者持续2日,7,7,3,0.2857142857142857,-0.009634689024697218,0.07434254617363954,0.9137917853567077,8.370885784149031,0.3193512128086047,0.240553846852923,1.3158422838030206,2.3163030816065575,-0.20298744389457812,1.5732559939739932,17.71975484405445,313.0,0.541849833479767,8196.53814731399,45014.42120949983,3.0,3.0,0.0,142.0,0.015,9497.671232876733,2949.0,1534.4200000000128,2.772914713826518,0.11847133122616116,0.006075122036335645,4,False
gap3_2d,前5外＋领先3点，2日,5,5,3,0.4,-0.007765798721258821,0.10908298128457154,0.9137917853567077,8.393762792967676,0.319749714773816,0.24084252197771047,1.3158597289462846,2.31386174974304,-0.20298744389457812,1.575219179270411,17.230972943854592,288.0,0.5442692998395171,7970.911197008685,43645.31285955905,3.0,3.0,0.0,127.0,0.015,9445.027397260304,2949.0,1524.630000000011,2.7957917226451627,0.11848877636942512,0.006075122036335645,4,False
gap5_2d,前5外＋领先5点，2日,5,5,3,0.4,-0.007765798721258821,0.10908298128457154,0.9137917853567077,8.393762792967676,0.319749714773816,0.24084252197771047,1.3158597289462846,2.31386174974304,-0.20298744389457812,1.575219179270411,17.230972943854592,288.0,0.5442692998395171,7970.911197008685,43645.31285955905,3.0,3.0,0.0,127.0,0.015,9445.027397260304,2949.0,1524.630000000011,2.7957917226451627,0.11848877636942512,0.006075122036335645,4,False
gap10_2d,前5外＋领先10点，2日,4,4,3,0.5,-0.007440307865001605,0.12386865715808945,0.9137917853567077,8.364623277822943,0.3192419756022955,0.2416214569864917,1.3107529688729442,2.2984674694397316,-0.22692291673620146,1.4068300381200158,16.98059961840251,285.0,0.5419562442262169,7816.885740934176,42845.35675535379,3.0,3.0,0.0,127.0,0.015,9405.041095890456,2949.0,1520.4800000000141,2.76665220750043,0.1133820162960848,-0.017860350805287695,4,False
gap10_1d,前5外＋领先10点，1日,8,7,5,0.2857142857142857,-0.04533274029171108,0.032808278629919675,0.878006619429495,7.325855874455868,0.3001702395260404,0.2449492454470439,1.234643618580054,2.1246291130484907,-0.3477555937173529,0.8631643744888582,17.8165953824433,282.0,0.5430478137793782,7231.8518411111245,39283.75354422212,3.0,3.0,0.0,117.0,0.015,8680.273972602754,2949.0,1406.9700000000096,1.727884804133355,0.037272666003194566,-0.1386930277864391,3,False
rank8_gap5_2d,前8外＋领先5点，2日,1,1,1,0.0,-0.10224404019541333,-0.10224404019541333,,5.541487720315312,0.26190325507559264,0.22341094503943595,1.1922648839312087,2.054017652015115,-0.20906256593091377,1.2527506008040696,16.570323053111725,266.0,0.519588451899285,6676.978007718849,36617.65711305857,0.0,0.0,0.0,113.0,0.015,8581.684931506874,2949.0,1384.3500000000088,-0.05648335000720106,-0.005106068645650774,0.0,1,False
top1_gap5_2d,仅榜首领先5点，2日,0,0,0,,,,,5.597971070322513,0.26324771668052227,0.22337591195052947,1.1973709525768594,2.0627451443276428,-0.20906256593091377,1.2591815063033063,16.321750180777745,264.0,0.519592280712369,6588.810666412409,35773.73721643926,0.0,0.0,0.0,113.0,0.015,8605.972602739756,2949.0,1388.3800000000065,0.0,0.0,0.0,1,False
rank8_gap5_1d,前8外＋领先5点，1日,3,3,2,0.0,-0.09574412020280298,-0.07828672905775214,,5.138006866816665,0.2519920143300576,0.223320330999786,1.155979566936634,1.9857819664754135,-0.24402855739634532,1.0326332992280824,17.06857516619698,266.0,0.5208305873888586,6569.060103185769,35847.348331922294,0.0,0.0,0.0,108.0,0.015,8330.794520547974,2949.0,1342.7600000000027,-0.459964203505848,-0.041391385640225486,-0.034965991465431556,0,False
