variant,period,total_return,delta_total_return,max_drawdown
rank5_1d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
rank5_1d,2021_2022,0.011029757275562657,-0.2251769574779141,-0.3477555937173529
rank5_1d,2023_2024,1.1807096893739093,0.7969098944888868,-0.13714128951956972
rank5_1d,2025_2026,2.676695119530361,-0.16246200128155186,-0.12534222404055195
rank5_2d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
rank5_2d,2021_2022,0.24565925943787148,0.009452544684394715,-0.20298744389457812
rank5_2d,2023_2024,1.0193119834515407,0.6355121885665183,-0.13567922103395347
rank5_2d,2025_2026,2.708239714983002,-0.1309174058289111,-0.12534255785535686
gap3_1d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
gap3_1d,2021_2022,0.011029757275562657,-0.2251769574779141,-0.3477555937173529
gap3_1d,2023_2024,1.1577643293605746,0.7739645344755521,-0.13714128951956972
gap3_1d,2025_2026,2.675200919774705,-0.16395620103720798,-0.1253352116932116
gap3_2d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
gap3_2d,2021_2022,0.24565925943787148,0.009452544684394715,-0.20298744389457812
gap3_2d,2023_2024,1.0069031515423963,0.6231033566573738,-0.13567922103395347
gap3_2d,2025_2026,2.740276884709665,-0.09888023610224828,-0.12534122991264873
gap5_1d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
gap5_1d,2021_2022,0.011029757275562657,-0.2251769574779141,-0.3477555937173529
gap5_1d,2023_2024,1.1784117119042916,0.7946119170192691,-0.13714128951956972
gap5_1d,2025_2026,2.676869083553329,-0.16228803725858398,-0.1253402409363088
gap5_2d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
gap5_2d,2021_2022,0.24565925943787148,0.009452544684394715,-0.20298744389457812
gap5_2d,2023_2024,1.0069031515423963,0.6231033566573738,-0.13567922103395347
gap5_2d,2025_2026,2.740276884709665,-0.09888023610224828,-0.12534122991264873
gap10_1d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
gap10_1d,2021_2022,0.011029757275562657,-0.2251769574779141,-0.3477555937173529
gap10_1d,2023_2024,1.1960371143629818,0.8122373194779593,-0.13704626409085263
gap10_1d,2025_2026,2.7326314787740777,-0.10652564203783532,-0.12533755872918118
gap10_2d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
gap10_2d,2021_2022,0.20837947949487012,-0.027827235258606642,-0.22692291673620146
gap10_2d,2023_2024,1.015017027987807,0.6312172331027845,-0.13616032837617909
gap10_2d,2025_2026,2.828230584472443,-0.010926536339470161,-0.12533883446205984
rank8_gap5_1d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
rank8_gap5_1d,2021_2022,0.1817078047514904,-0.05449891000198637,-0.24402855739634532
rank8_gap5_1d,2023_2024,0.38712698582322136,0.0033271909381988873,-0.1363631477673387
rank8_gap5_1d,2025_2026,2.727270265959065,-0.11188685485284822,-0.1253341901560565
rank8_gap5_2d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
rank8_gap5_2d,2021_2022,0.23620671475347677,0.0,-0.20906256593091377
rank8_gap5_2d,2023_2024,0.38379979488502247,0.0,-0.13582739902523422
rank8_gap5_2d,2025_2026,2.806291190804606,-0.032865930007306865,-0.12534231732360435
top1_gap5_1d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
top1_gap5_1d,2021_2022,0.23620671475347677,0.0,-0.20906256593091377
top1_gap5_1d,2023_2024,1.0093261954863872,0.6255264006013648,-0.13582739902523422
top1_gap5_1d,2025_2026,2.8616591549034687,0.0225020340915556,-0.12533864082873336
top1_gap5_2d,2018_2020,0.004639293967415803,0.0,-0.13718481429352214
top1_gap5_2d,2021_2022,0.23620671475347677,0.0,-0.20906256593091377
top1_gap5_2d,2023_2024,0.38379979488502247,0.0,-0.13582739902523422
top1_gap5_2d,2025_2026,2.839157120811913,0.0,-0.125341390811315
