signal_date,execution_date,symbol,actual_weight_close,position_present
2024-04-24,2024-04-25,561580.SH,0.19532211889505743,True
2024-04-25,2024-04-26,561580.SH,0.19142002958623672,True
2024-04-26,2024-04-29,561580.SH,0.1901430393399939,True
2024-07-29,2024-07-30,513730.SH,0.19862562136487158,True
2024-07-30,2024-07-31,513730.SH,0.19942614934365202,True
2024-07-31,2024-08-01,513730.SH,0.20041473514295305,True
2024-08-01,2024-08-02,513730.SH,0.19757127722484744,True
2024-08-02,2024-08-05,513730.SH,0.18788004482981577,True
2024-09-04,2024-09-05,513730.SH,0.19435881558991988,True
2024-09-05,2024-09-06,513730.SH,0.19433873923566214,True
2024-09-06,2024-09-09,513730.SH,0.1927926406077212,True
2024-09-09,2024-09-10,513730.SH,0.19259500189860118,True
2024-09-10,2024-09-11,513730.SH,0.19153340328828586,True
