datetime,primary,formal_f,different
2018-09-20,CASH,512800.SH,True
2018-09-21,CASH,512800.SH,True
2018-09-25,CASH,512800.SH,True
2018-09-26,CASH,512800.SH,True
2018-09-27,CASH,512800.SH,True
2018-09-28,CASH,512800.SH,True
2018-10-08,CASH,512800.SH,True
2018-10-09,CASH,512800.SH,True
2018-10-10,CASH,512800.SH,True
2018-10-18,518880.SH,CASH,True
2018-10-19,518880.SH,CASH,True
2018-10-22,518880.SH,CASH,True
2018-10-23,518880.SH,CASH,True
2018-10-24,518880.SH,CASH,True
2018-10-25,518880.SH,CASH,True
2018-10-26,518880.SH,CASH,True
2018-10-29,518880.SH,CASH,True
2018-10-30,518880.SH,CASH,True
2018-10-31,518880.SH,CASH,True
2018-11-01,518880.SH,CASH,True
2018-11-02,518880.SH,CASH,True
2018-11-05,518880.SH,512800.SH,True
2018-11-06,518880.SH,512800.SH,True
2018-11-07,518880.SH,512800.SH,True
2018-11-08,CASH,512800.SH,True
2018-12-10,518880.SH,CASH,True
2018-12-11,518880.SH,CASH,True
2018-12-12,518880.SH,CASH,True
2018-12-13,518880.SH,CASH,True
2018-12-14,518880.SH,CASH,True
2018-12-17,518880.SH,CASH,True
2018-12-18,518880.SH,CASH,True
2018-12-19,518880.SH,CASH,True
2018-12-20,518880.SH,CASH,True
2018-12-21,518880.SH,CASH,True
2018-12-24,518880.SH,CASH,True
2018-12-25,518880.SH,CASH,True
2018-12-26,518880.SH,CASH,True
2018-12-27,518880.SH,CASH,True
2018-12-28,518880.SH,CASH,True
2019-01-02,518880.SH,CASH,True
2019-01-03,518880.SH,CASH,True
2019-01-04,518880.SH,CASH,True
2019-01-07,518880.SH,CASH,True
2019-01-08,518880.SH,CASH,True
2019-02-22,510880.SH,CASH,True
2019-02-25,510880.SH,CASH,True
2019-02-26,510880.SH,CASH,True
2019-02-27,510880.SH,CASH,True
2019-02-28,510880.SH,CASH,True
2019-03-01,510880.SH,CASH,True
2019-03-04,510880.SH,CASH,True
2019-03-05,510880.SH,CASH,True
2019-03-06,510880.SH,CASH,True
2019-03-07,510880.SH,CASH,True
2019-03-08,510880.SH,CASH,True
2019-03-11,510880.SH,CASH,True
2019-03-12,510880.SH,CASH,True
2019-04-08,513500.SH,CASH,True
2019-04-09,513500.SH,CASH,True
2019-04-10,513500.SH,CASH,True
2019-04-11,513500.SH,CASH,True
2019-04-12,513500.SH,CASH,True
2019-04-15,513500.SH,CASH,True
2019-04-16,513500.SH,CASH,True
2019-04-17,513500.SH,CASH,True
2019-04-18,513500.SH,CASH,True
2019-04-19,513500.SH,CASH,True
2019-04-22,513500.SH,CASH,True
2019-04-23,513500.SH,CASH,True
2019-04-24,513500.SH,CASH,True
2019-04-25,513500.SH,CASH,True
2019-04-26,513500.SH,CASH,True
2019-04-29,513500.SH,CASH,True
2019-04-30,513500.SH,CASH,True
2019-05-17,CASH,513500.SH,True
2019-05-20,CASH,513500.SH,True
2019-05-21,CASH,513500.SH,True
2019-05-22,CASH,513500.SH,True
2019-05-23,CASH,513500.SH,True
2019-05-31,518880.SH,CASH,True
2019-06-03,518880.SH,CASH,True
2019-06-04,518880.SH,CASH,True
2019-06-05,518880.SH,CASH,True
2019-06-06,518880.SH,CASH,True
2019-06-10,518880.SH,CASH,True
2019-06-11,518880.SH,CASH,True
2019-06-12,518880.SH,513500.SH,True
2019-06-13,518880.SH,513500.SH,True
2019-06-14,518880.SH,513500.SH,True
2019-06-17,518880.SH,513500.SH,True
