datetime,v4,formal_f,different
2019-05-06,513500.SH,CASH,True
2019-05-07,513500.SH,CASH,True
2019-05-08,513500.SH,CASH,True
2019-06-12,CASH,513500.SH,True
2019-06-13,CASH,513500.SH,True
2019-06-14,CASH,513500.SH,True
2019-06-17,CASH,513500.SH,True
2019-06-18,CASH,513500.SH,True
2019-07-16,CASH,513500.SH,True
2019-07-17,CASH,513500.SH,True
2019-07-18,CASH,513500.SH,True
2019-07-19,CASH,513500.SH,True
2019-07-22,CASH,513500.SH,True
2019-07-30,CASH,513500.SH,True
2019-07-31,CASH,513500.SH,True
2019-08-19,CASH,159915.SZ,True
2019-08-20,CASH,159915.SZ,True
2019-08-21,CASH,159915.SZ,True
2019-08-22,CASH,159915.SZ,True
2019-08-23,CASH,159915.SZ,True
2019-08-26,CASH,159915.SZ,True
2019-08-27,CASH,159915.SZ,True
2019-08-28,CASH,159915.SZ,True
2019-09-06,CASH,159915.SZ,True
2019-09-09,CASH,159915.SZ,True
2019-09-10,CASH,159915.SZ,True
2019-09-11,CASH,159915.SZ,True
2019-09-12,CASH,159915.SZ,True
2019-09-16,CASH,159915.SZ,True
2019-09-17,CASH,159915.SZ,True
2019-10-31,CASH,159915.SZ,True
2019-11-01,CASH,159915.SZ,True
2019-11-04,CASH,159915.SZ,True
2019-11-05,CASH,159915.SZ,True
2019-11-06,CASH,159915.SZ,True
2019-11-07,CASH,159915.SZ,True
2019-11-08,CASH,159915.SZ,True
2019-11-11,CASH,159915.SZ,True
2019-11-12,CASH,159915.SZ,True
2019-11-13,CASH,159915.SZ,True
2019-11-14,CASH,159915.SZ,True
2019-11-18,CASH,513500.SH,True
2019-11-19,CASH,513500.SH,True
2019-11-20,CASH,513500.SH,True
2019-11-21,CASH,513500.SH,True
2019-11-22,CASH,513500.SH,True
2019-12-19,CASH,512800.SH,True
2019-12-20,CASH,512800.SH,True
2019-12-23,CASH,512800.SH,True
2019-12-24,CASH,512800.SH,True
2019-12-25,CASH,512800.SH,True
2019-12-26,CASH,159915.SZ,True
2019-12-27,CASH,159915.SZ,True
2019-12-30,CASH,159915.SZ,True
2019-12-31,CASH,159915.SZ,True
2020-01-02,CASH,159915.SZ,True
2020-06-03,CASH,518880.SH,True
2020-06-04,CASH,518880.SH,True
2020-06-05,CASH,159941.SZ,True
2020-06-08,CASH,159941.SZ,True
2020-06-09,CASH,159941.SZ,True
2020-06-10,CASH,159941.SZ,True
2020-06-11,CASH,159941.SZ,True
2020-06-12,CASH,159941.SZ,True
2020-06-15,CASH,159941.SZ,True
2020-06-16,CASH,159941.SZ,True
2020-06-17,CASH,159941.SZ,True
2020-06-18,CASH,159941.SZ,True
2020-06-19,CASH,159941.SZ,True
2020-11-02,CASH,159985.SZ,True
2020-11-03,CASH,159985.SZ,True
2020-11-04,CASH,159985.SZ,True
2020-11-05,CASH,159985.SZ,True
2020-11-06,CASH,159985.SZ,True
2021-03-24,CASH,513500.SH,True
2021-03-25,CASH,513500.SH,True
2021-03-26,CASH,513500.SH,True
2021-03-29,CASH,513500.SH,True
2021-04-08,CASH,159941.SZ,True
2021-04-09,CASH,159941.SZ,True
2021-04-12,CASH,159941.SZ,True
2021-04-13,CASH,159941.SZ,True
2021-04-14,CASH,159941.SZ,True
2021-04-15,CASH,159941.SZ,True
2021-04-16,CASH,159941.SZ,True
2021-04-19,CASH,159941.SZ,True
2021-04-20,CASH,159941.SZ,True
2021-04-21,CASH,159941.SZ,True
2021-06-07,CASH,512760.SH,True
2021-06-08,CASH,512760.SH,True
2021-06-09,CASH,512760.SH,True
2021-06-10,CASH,512760.SH,True
2021-06-11,CASH,512760.SH,True
2021-06-15,CASH,512760.SH,True
2021-06-16,CASH,512760.SH,True
2021-06-17,CASH,512760.SH,True
2021-06-18,CASH,512760.SH,True
2021-06-21,CASH,512760.SH,True
2021-06-22,CASH,512760.SH,True
2021-06-23,CASH,512760.SH,True
2021-06-24,CASH,512760.SH,True
2021-06-25,CASH,512760.SH,True
2021-06-28,CASH,512760.SH,True
2021-06-29,CASH,512760.SH,True
2021-06-30,CASH,512760.SH,True
2021-07-01,CASH,512760.SH,True
2021-07-02,CASH,512760.SH,True
2021-07-05,CASH,512760.SH,True
2021-07-06,CASH,512760.SH,True
2021-07-07,CASH,512760.SH,True
2021-07-08,CASH,512760.SH,True
2021-07-09,CASH,512760.SH,True
2021-07-12,CASH,512760.SH,True
2021-07-13,CASH,512760.SH,True
2021-07-14,CASH,512760.SH,True
2021-07-15,CASH,512760.SH,True
2021-07-16,CASH,512760.SH,True
2021-07-19,CASH,512760.SH,True
2021-07-20,CASH,512760.SH,True
2021-07-21,CASH,512760.SH,True
2021-07-22,CASH,512760.SH,True
2021-07-23,CASH,512760.SH,True
2021-07-26,CASH,512760.SH,True
2021-07-27,CASH,512760.SH,True
2021-07-28,CASH,512760.SH,True
2021-07-29,CASH,512760.SH,True
2021-07-30,CASH,512760.SH,True
2021-08-02,CASH,512760.SH,True
2021-08-03,CASH,512760.SH,True
2021-08-04,CASH,512760.SH,True
2021-08-05,CASH,512760.SH,True
2021-08-06,CASH,512760.SH,True
2021-08-09,CASH,512760.SH,True
2021-08-10,CASH,512760.SH,True
2021-08-11,CASH,512760.SH,True
2021-08-12,CASH,512760.SH,True
2021-08-13,CASH,512760.SH,True
2021-08-16,CASH,512760.SH,True
2021-08-17,CASH,512760.SH,True
2021-10-27,CASH,159865.SZ,True
2021-10-28,CASH,510630.SH,True
2021-10-29,CASH,510630.SH,True
2021-11-01,CASH,510630.SH,True
2021-11-02,CASH,510630.SH,True
2021-11-03,159865.SZ,510630.SH,True
2021-11-04,159865.SZ,510630.SH,True
2021-11-05,159865.SZ,510630.SH,True
2021-11-08,159865.SZ,510630.SH,True
2021-11-09,159865.SZ,510630.SH,True
2021-11-10,CASH,512980.SH,True
2021-11-16,512980.SH,159865.SZ,True
2021-11-17,512980.SH,159865.SZ,True
2021-11-18,512980.SH,159865.SZ,True
2021-11-19,512980.SH,159865.SZ,True
2021-11-22,512980.SH,159865.SZ,True
2021-11-23,512980.SH,159865.SZ,True
2021-11-24,512980.SH,512690.SH,True
2021-11-25,512980.SH,512690.SH,True
2021-11-26,512980.SH,512690.SH,True
2021-11-29,512980.SH,512690.SH,True
2021-11-30,512980.SH,512690.SH,True
2021-12-01,512980.SH,512690.SH,True
2021-12-02,512980.SH,512690.SH,True
2021-12-03,CASH,512690.SH,True
2021-12-06,CASH,512690.SH,True
2021-12-07,CASH,512690.SH,True
2021-12-08,CASH,512690.SH,True
2021-12-09,CASH,512690.SH,True
2021-12-10,CASH,512690.SH,True
2021-12-13,CASH,512690.SH,True
2021-12-14,CASH,512690.SH,True
2021-12-15,CASH,512690.SH,True
2021-12-16,CASH,512690.SH,True
2021-12-17,CASH,512690.SH,True
2021-12-20,CASH,512690.SH,True
2021-12-21,CASH,512690.SH,True
2021-12-22,CASH,512690.SH,True
2021-12-23,CASH,512690.SH,True
2021-12-24,CASH,512690.SH,True
2022-02-14,CASH,159981.SZ,True
2022-02-21,CASH,159981.SZ,True
2022-02-22,CASH,159981.SZ,True
2022-02-23,CASH,159981.SZ,True
2022-02-24,CASH,159981.SZ,True
2022-02-25,CASH,159981.SZ,True
2022-02-28,CASH,159981.SZ,True
2022-03-01,CASH,159981.SZ,True
2022-03-02,CASH,159981.SZ,True
2022-03-03,CASH,159981.SZ,True
2022-03-04,CASH,159981.SZ,True
2022-03-07,CASH,159981.SZ,True
2022-03-08,CASH,159981.SZ,True
2022-03-09,CASH,159981.SZ,True
2022-03-10,CASH,159981.SZ,True
2022-03-11,CASH,159981.SZ,True
2022-03-14,CASH,159981.SZ,True
2022-03-15,CASH,159981.SZ,True
2022-03-16,CASH,159981.SZ,True
2022-03-17,CASH,159981.SZ,True
2022-03-18,CASH,159981.SZ,True
2022-03-21,CASH,159981.SZ,True
2022-03-22,CASH,159981.SZ,True
2022-03-23,CASH,159981.SZ,True
2022-03-24,CASH,159981.SZ,True
2022-03-25,CASH,159981.SZ,True
2022-03-28,CASH,159981.SZ,True
2022-03-29,CASH,159981.SZ,True
2022-03-30,CASH,159981.SZ,True
2022-03-31,CASH,159981.SZ,True
2022-04-12,CASH,510880.SH,True
2022-04-13,CASH,510880.SH,True
2022-04-14,CASH,510880.SH,True
2022-04-15,CASH,510880.SH,True
2022-04-18,CASH,510880.SH,True
2022-04-19,CASH,510880.SH,True
2022-04-20,CASH,510880.SH,True
2022-05-06,CASH,518880.SH,True
2022-05-09,CASH,518880.SH,True
2022-05-10,CASH,518880.SH,True
2022-05-11,CASH,518880.SH,True
2022-05-12,CASH,518880.SH,True
2022-05-27,CASH,159981.SZ,True
2022-05-30,CASH,159981.SZ,True
2022-05-31,CASH,159981.SZ,True
2022-06-01,CASH,159981.SZ,True
2022-06-02,CASH,159981.SZ,True
2022-06-06,CASH,159755.SZ,True
2022-06-07,CASH,159755.SZ,True
2022-06-08,CASH,159755.SZ,True
2022-06-09,CASH,159755.SZ,True
2022-06-10,CASH,159755.SZ,True
2022-06-13,CASH,159755.SZ,True
2022-06-14,CASH,159755.SZ,True
2022-06-15,CASH,159755.SZ,True
2022-06-16,CASH,159755.SZ,True
2022-06-17,CASH,159755.SZ,True
2022-06-20,CASH,159755.SZ,True
2022-06-21,CASH,159755.SZ,True
2022-06-22,CASH,159755.SZ,True
2022-06-23,CASH,159755.SZ,True
2022-06-24,CASH,159755.SZ,True
2022-06-27,CASH,159755.SZ,True
2022-06-28,CASH,159755.SZ,True
