symbol,name,category,first_price_date,last_price_date,valid_sessions,internal_missing_sessions,first_entry_eligible_date,listed_sessions_at_data_end,trailing_amount_at_data_end,ends_before_data_end
159915.SZ,创业板ETF易方达,宽基,2014-03-21,2026-07-22,2999,1,2014-09-11,2999,7047074048.0,False
510300.SH,沪深300ETF华泰柏瑞,宽基,2014-03-21,2026-07-22,3000,0,2014-09-11,3000,6999343872.0,False
510500.SH,中证500ETF南方,宽基,2014-03-21,2026-07-22,2999,1,2014-09-11,2999,3775862912.0,False
510630.SH,消费ETF华夏,消费农业,2014-03-21,2026-07-22,3000,0,2015-04-28,3000,48007692.0,False
510880.SH,红利ETF华泰柏瑞,风格红利,2014-03-21,2026-07-22,3000,0,2014-12-16,3000,864589696.0,False
512010.SH,医药ETF易方达,医药医疗,2014-03-21,2026-07-22,3000,0,2018-08-15,3000,714844512.0,False
513500.SH,标普500ETF博时,美股,2014-03-21,2026-07-22,3000,0,2015-03-05,3000,366742768.0,False
518880.SH,黄金ETF华安,商品,2014-03-21,2026-07-22,3000,0,2014-09-19,3000,2539283200.0,False
512070.SH,证券保险ETF易方达,金融地产,2014-07-18,2026-07-22,2918,1,2015-01-13,2918,693584064.0,False
159941.SZ,纳指ETF广发,美股,2015-07-13,2026-07-22,2679,0,2020-02-20,2679,1362771456.0,False
512660.SH,军工ETF国泰,高端制造,2016-08-08,2026-07-22,2416,0,2017-04-25,2416,359251280.0,False
512100.SH,中证1000ETF南方,宽基,2016-11-04,2026-07-22,2359,0,2019-04-01,2359,4090438400.0,False
512800.SH,银行ETF华宝,金融地产,2017-08-03,2026-07-22,2176,0,2018-02-01,2176,923824288.0,False
512400.SH,有色金属ETF南方,周期资源,2017-09-01,2026-07-22,2155,0,2020-01-06,2155,951099264.0,False
512200.SH,房地产ETF南方,金融地产,2017-09-25,2026-07-22,2139,0,2020-02-17,2139,118630448.0,False
512040.SH,价值100ETF富国,风格红利,2018-11-29,2026-07-22,1853,0,2022-05-09,1853,221436696.0,False
512690.SH,酒ETF鹏华,消费农业,2019-05-06,2026-07-22,1752,0,2019-10-29,1752,764513088.0,False
512760.SH,芯片ETF国泰,科技数字,2019-06-12,2026-07-22,1726,0,2019-12-04,1726,904639552.0,False
515050.SH,通信ETF华夏,科技数字,2019-10-16,2026-07-22,1642,0,2020-04-10,1642,2088506624.0,False
159985.SZ,豆粕ETF华夏,商品,2019-12-05,2026-07-22,1606,0,2020-06-04,1606,495355328.0,False
159981.SZ,能源化工ETF建信,商品,2020-01-17,2026-07-22,1576,0,2021-10-15,1576,330181888.0,False
515210.SH,钢铁ETF国泰,周期资源,2020-03-02,2026-07-22,1551,0,2020-08-24,1551,78873756.0,False
515220.SH,煤炭ETF国泰,周期资源,2020-03-02,2026-07-22,1551,0,2020-08-24,1551,908036480.0,False
159996.SZ,家电ETF国泰,消费农业,2020-03-16,2026-07-22,1541,0,2020-09-07,1541,71497708.0,False
513090.SH,香港证券ETF易方达,港股与亚洲,2020-03-26,2026-07-22,1533,0,2020-09-17,1533,6864948224.0,False
159819.SZ,人工智能ETF易方达,科技数字,2020-09-23,2026-07-22,1410,0,2021-03-25,1410,966683584.0,False
515790.SH,光伏ETF华泰柏瑞,高端制造,2020-12-18,2026-07-22,1354,0,2021-06-18,1354,291714032.0,False
159869.SZ,游戏ETF华夏,科技数字,2021-03-05,2026-07-22,1305,0,2021-11-12,1305,759149568.0,False
159865.SZ,养殖ETF国泰,消费农业,2021-03-08,2026-07-22,1304,0,2021-08-27,1304,260793000.0,False
516020.SH,化工ETF华宝,周期资源,2021-03-08,2026-07-22,1304,0,2021-08-27,1304,143087936.0,False
516150.SH,稀土ETF嘉实,周期资源,2021-03-17,2026-07-22,1297,0,2021-09-07,1297,234764632.0,False
159851.SZ,金融科技ETF华宝,金融地产,2021-03-19,2026-07-22,1295,0,2022-02-11,1295,267433264.0,False
513130.SH,恒生科技ETF华泰柏瑞,港股与亚洲,2021-06-01,2026-07-22,1247,0,2021-11-25,1247,3826062976.0,False
159745.SZ,建材ETF国泰,基建公用,2021-06-18,2026-07-22,1235,0,2021-12-13,1235,48896912.0,False
159755.SZ,电池ETF广发,高端制造,2021-06-24,2026-07-22,1231,0,2021-12-17,1231,460505712.0,False
516970.SH,基建ETF广发,基建公用,2021-07-05,2026-07-22,1224,0,2021-12-28,1224,36624380.0,False
159766.SZ,旅游ETF富国,消费农业,2021-07-23,2026-07-22,1210,0,2022-01-18,1210,156084984.0,False
562500.SH,机器人ETF华夏,科技数字,2021-12-29,2026-07-22,1104,0,2022-09-30,1104,1029771680.0,False
159611.SZ,电力ETF广发,基建公用,2022-01-07,2026-07-22,1098,0,2022-07-08,1098,496653920.0,False
513200.SH,港股通医药ETF易方达,港股与亚洲,2022-02-11,2026-07-22,1078,0,2022-08-05,1078,332846512.0,False
513530.SH,港股通红利ETF华泰柏瑞,港股与亚洲,2022-04-25,2026-07-22,1029,0,2022-10-21,1029,209067216.0,False
159647.SZ,中药ETF鹏华,医药医疗,2022-07-28,2026-07-22,965,0,2023-01-20,965,27665875.0,False
513310.SH,中韩半导体ETF华泰柏瑞,港股与亚洲,2022-12-22,2026-07-22,866,0,2023-06-21,866,14412470784.0,False
562600.SH,医疗器械ETF华夏,医药医疗,2023-12-11,2026-07-22,632,0,2025-09-09,632,41576008.0,False
563380.SH,航空航天ETF华泰柏瑞,高端制造,2025-11-07,2026-07-22,171,0,2026-05-11,171,70447260.0,False
