variant,family,pool_size,normal_limit,fallback_limit,emerging_limit,symbols_hash,symbols,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,candidate_day_rate,return_2018_2020,mdd_2018_2020,return_2021_2022,mdd_2021_2022,return_2023_2024,mdd_2023_2024,return_2024_2026,mdd_2024_2026,return_2025_2026,mdd_2025_2026,path_diff_days_vs_core45,target_agreement_vs_core45
add_one_fixed__512980.SH,add_one_fixed,46,5,3,15,79ade71218195fc4194cbfa6f69aa03f1d74c4225f90a93801ddfe1c685728b0,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|512980.SH,4.99132075343055,0.2483407499547116,0.2192404345405557,1.1597459212217558,1.9776791326931664,-0.253441117172872,0.9798755337134922,14.90665522709116,242.0,0.4845436473883905,5725.058801395338,31309.998953146936,0.0,0.0,0.0,104.0,0.015,8632.56164383567,2948.0,1399.550000000006,0.2685043389484431,0.0094784745322791,-0.1329159213896522,0.1567722651567342,-0.253441117172872,0.3380471615391052,-0.136781112524971,3.811449880125368,-0.1291638932558867,2.834477727358206,-0.1253326899841834,112,0.9428279734558448
add_one_fixed__513030.SH,add_one_fixed,46,5,3,15,dfc3be3721d9e44a4ea6869ccfa730ec022ae1a3fda23dc916c05dec614a4c58,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|513030.SH,5.5954516533600955,0.2632880785281741,0.2219955167888624,1.2037872470478403,2.0656874493211763,-0.2218857323282884,1.186593098012401,15.47055076470218,256.0,0.5011434690739355,6337.176717442333,34612.789304451944,0.0,0.0,0.0,117.0,0.015,8853.986301369885,2948.0,1428.7000000000007,0.259315977539561,0.0145490378693877,-0.1541222861356872,0.2299066101219551,-0.2218857323282884,0.3872466903720588,-0.1371641809549029,3.4657525237802265,-0.1294055170278225,2.810181507202528,-0.1253327993093689,105,0.9464012251148544
add_one_fixed__513520.SH,add_one_fixed,46,5,3,15,c95a8c141df9ead455e752358073fc3dd90c757c0935901b8c636519200037c8,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|513520.SH,4.48284186213452,0.2346987367553934,0.2323917919717123,1.0578306255954262,1.7777034731750054,-0.2272637272169184,1.0327153375046887,16.159921893805166,245.0,0.5042190352519995,6074.905089179427,33833.11713389039,0.0,0.0,0.0,101.0,0.015,8204.999999999993,2948.0,1320.3400000000038,0.2664624808575804,0.0123285286274148,-0.1160748062680513,0.2050053327465115,-0.2221215832672227,0.1734316398007165,-0.2272637272169184,2.9968931050313334,-0.2272637272169184,2.830341368985461,-0.1253347605342779,78,0.9601837672281776
add_one_fixed__560280.SH,add_one_fixed,46,5,3,15,186c81f1b760acd42b7d94dea5376d3397012fbbc29d81cdabe18d4368b275ed,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|560280.SH,4.658138428197241,0.2395225065386366,0.2213465142475081,1.1175181365927958,1.9107889187764049,-0.3208265232607692,0.746579503789815,16.799150703878265,252.0,0.514781361001987,6030.246902340799,32746.684708582154,0.0,0.0,0.0,104.0,0.015,7987.315068493208,2948.0,1291.8700000000135,0.2705461970393057,0.0046392939674158,-0.1371848142935221,0.0526984551839213,-0.3208265232607692,0.3943891089010025,-0.1368460834632913,3.4853946344964157,-0.1290118036776537,2.8368554715227994,-0.125332188332056,38,0.9806023481368044
add_one_fixed__561360.SH,add_one_fixed,46,5,3,15,68f01597688319e6903f86b89f3608c1f6d47cb3e0e4fa7cafb377c608b661b4,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|561360.SH,5.413095446419418,0.2589071998768746,0.2220297460635341,1.1873612178249735,2.0437451728185225,-0.2218193578066835,1.167198401604396,16.158526017443066,256.0,0.5150201338351365,6416.56801611075,34930.933580381876,0.0,0.0,0.0,110.0,0.015,8686.35616438359,2948.0,1400.4100000000028,0.2710566615620214,0.0046392939674158,-0.1371848142935221,0.2055634198518445,-0.2218193578066835,0.3857913052219748,-0.1361708752598652,3.4231752408098446,-0.1293340872259971,2.820934994816287,-0.1253320390056115,9,0.9954058192955588
add_one_fixed__561380.SH,add_one_fixed,46,5,3,15,b3557da8eacef9a27fa439cae4538853d3863c765d7b86a149fca74cc7689d69,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|561380.SH,5.922926577952201,0.2708955081784725,0.2280506106588923,1.2051710087085532,2.061512908475647,-0.2218193578066835,1.2212437672574956,16.140097753231444,256.0,0.5210509351732999,6488.418201531695,35218.33511132955,0.0,0.0,0.0,110.0,0.015,8547.369863013719,2948.0,1371.1600000000017,0.2710566615620214,0.0046392939674158,-0.1371848142935221,0.2055634198518445,-0.2218193578066835,0.3857913052219748,-0.1361708752598652,3.774810805387155,-0.1664800898259246,3.1246933948270073,-0.1664800898259246,33,0.9831546707503828
add_one_scaled__512980.SH,add_one_scaled,46,6,4,16,79ade71218195fc4194cbfa6f69aa03f1d74c4225f90a93801ddfe1c685728b0,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|512980.SH,4.099132468189407,0.2236495728720167,0.2313928566317729,1.0208125326158497,1.756324280345516,-0.384437965932622,0.5817572474390168,18.91205424352053,254.0,0.557771308144457,6216.805634289526,33235.68204565108,0.0,0.0,0.0,89.0,0.015,6571.561643835592,2948.0,1077.220000000003,0.341500765696784,-0.0344377250835922,-0.1945283685072614,-0.1358647263025875,-0.384437965932622,0.6509582376016296,-0.1673196282247669,4.427917053397978,-0.1309202073816006,2.701674135072617,-0.1309202073816006,240,0.877488514548239
add_one_scaled__513030.SH,add_one_scaled,46,6,4,16,dfc3be3721d9e44a4ea6869ccfa730ec022ae1a3fda23dc916c05dec614a4c58,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|513030.SH,4.313864640989546,0.2299192183237302,0.2338218227078428,1.035392680640609,1.7669109117631214,-0.3485796672780664,0.659588725065598,19.29501528319823,292.0,0.5662671867853345,6598.981521795502,36862.28447936653,0.0,0.0,0.0,116.0,0.015,6655.232876712366,2948.0,1088.7200000000084,0.3455844818785094,-0.0544017784685071,-0.2042827186231692,-0.0276260999749501,-0.3485796672780664,0.6303788793910634,-0.1784573320458546,3.8279161718571375,-0.1311810984716108,2.5447205817815237,-0.1311810984716108,207,0.8943338437978561
add_one_scaled__513520.SH,add_one_scaled,46,6,4,16,c95a8c141df9ead455e752358073fc3dd90c757c0935901b8c636519200037c8,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|513520.SH,3.560248389825535,0.2068326898067107,0.2396758226434263,0.9338638977584328,1.5669989690870911,-0.3419476440413755,0.6048665443698278,19.48054509829028,259.0,0.5581125709688985,5925.651215878086,32538.897725885512,0.0,0.0,0.0,86.0,0.015,6465.616438356205,2948.0,1055.2099999999998,0.3435426237876468,-0.0308853568066438,-0.1906779039622904,-0.0740885445012075,-0.3419476440413755,0.3534994243788529,-0.2266191460073571,3.651606533013595,-0.2266191460073571,2.7547913632430308,-0.1253367772503663,245,0.8749361919346605
add_one_scaled__560280.SH,add_one_scaled,46,6,4,16,186c81f1b760acd42b7d94dea5376d3397012fbbc29d81cdabe18d4368b275ed,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|560280.SH,3.826117490350792,0.2153352906967962,0.2325378384470598,0.9864829472161344,1.6920439192584054,-0.358472581783106,0.600702261873643,19.911125722151308,280.0,0.5695674159840927,6251.097951835485,32853.06966628074,0.0,0.0,0.0,100.0,0.015,6287.424657534218,2948.0,1029.280000000004,0.3522205206738131,-0.0651781390686461,-0.2211313897252915,-0.0990768425961865,-0.358472581783106,0.5789905796103876,-0.1673140639700339,3.964750264764677,-0.130543924495175,2.62912344826254,-0.130543924495175,240,0.877488514548239
add_one_scaled__561360.SH,add_one_scaled,46,6,4,16,68f01597688319e6903f86b89f3608c1f6d47cb3e0e4fa7cafb377c608b661b4,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|561360.SH,3.971184119820509,0.2198029357349,0.2353695129586447,0.9936038154915022,1.7079868452607476,-0.3494175154351684,0.629055287801343,19.727864508855248,262.0,0.5771963728185564,6317.372464620834,34171.55667933224,0.0,0.0,0.0,88.0,0.015,6277.561643835587,2948.0,1029.330000000002,0.3481368044920878,-0.0651781390686461,-0.2211313897252915,-0.086100767019238,-0.3494175154351684,0.5758155944023227,-0.1673832005458895,4.041219241652861,-0.1307398920394018,2.692557628298978,-0.1307398920394018,207,0.8943338437978561
