window_days,symbol,name,nearest_core_symbol,nearest_core_name,nearest_correlation,median_core_correlation,core_peers_corr_ge_0_80,core_peers_corr_ge_0_60
63,560280.SH,工程机械ETF华泰柏瑞,516150.SH,稀土ETF嘉实,0.6294327371326883,0.4317503889466316,0,1
63,561380.SH,电网设备ETF广发,512100.SH,中证1000ETF南方,0.8413928142745862,0.45326386884292974,2,14
63,512980.SH,传媒ETF广发,159869.SZ,游戏ETF华夏,0.8952148722070257,0.41964560785945954,1,2
63,513520.SH,日经ETF华夏,159941.SZ,纳指ETF广发,0.7966860230981333,0.40091855165842866,0,9
63,513030.SH,德国ETF华安,513500.SH,标普500ETF博时,0.6475958363015942,0.37400933899462263,0,1
63,561360.SH,石油ETF国泰,512040.SH,价值100ETF富国,0.7129316139753578,0.3219053393862537,0,2
252,560280.SH,工程机械ETF华泰柏瑞,512040.SH,价值100ETF富国,0.6747496440945883,0.4635624606637065,0,7
252,561380.SH,电网设备ETF广发,510500.SH,中证500ETF南方,0.725311296967836,0.399363948006396,0,7
252,512980.SH,传媒ETF广发,159869.SZ,游戏ETF华夏,0.8710495253381996,0.4058633869160538,1,4
252,513520.SH,日经ETF华夏,159941.SZ,纳指ETF广发,0.7542744759040004,0.4014790446113761,0,4
252,513030.SH,德国ETF华安,513500.SH,标普500ETF博时,0.6977846350790495,0.394832227930981,0,2
252,561360.SH,石油ETF国泰,510880.SH,红利ETF华泰柏瑞,0.6156710151965059,0.21184862272923924,0,1
756,560280.SH,工程机械ETF华泰柏瑞,512040.SH,价值100ETF富国,0.7615282772000944,0.5191319506271947,0,14
756,561380.SH,电网设备ETF广发,510500.SH,中证500ETF南方,0.7480928271151492,0.42517740885696315,0,8
756,512980.SH,传媒ETF广发,159869.SZ,游戏ETF华夏,0.9259025684430227,0.5193238353100199,1,10
756,513520.SH,日经ETF华夏,159941.SZ,纳指ETF广发,0.6959779575394613,0.19145752857421408,0,2
756,513030.SH,德国ETF华安,513500.SH,标普500ETF博时,0.6446639607259405,0.21654048487760827,0,2
756,561360.SH,石油ETF国泰,512040.SH,价值100ETF富国,0.6876682179811631,0.38317626524499604,0,5
