variant,family,holdings,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,pool_size_mean,pool_size_min,pool_size_max,membership_changes,membership_review_events,candidate_day_rate,final_members,return_2018_2020,mdd_2018_2020,return_2021_2022,mdd_2021_2022,return_2023_2024,mdd_2023_2024,return_2025_2026,mdd_2025_2026,portfolio_overlap_vs_primary,portfolio_overlap_vs_core45,target_agreement_vs_primary,target_agreement_vs_core45,membership_jaccard_vs_primary,raw_review_passes
fixed_core45_scaled,benchmark,1,5.419517735131328,0.2590633305190324,0.22326984477248676,1.1825756631104145,2.0360074122090714,-0.2218193578066835,1.167902265521872,16.158252022237747,256.0,0.5185918740008136,6417.139758380486,34933.2207946086,0.0,0.0,0.0,110.0,0.015,8495.342465753449,2948.0,1370.8500000000026,45.0,45,45,0,0,0.2730985196528841,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ,0.004639293967415803,-0.13718481429352214,0.20556341985184456,-0.2218193578066835,0.3857913052219748,-0.13617087525986526,2.8247614071769283,-0.12533203900561152,0.5370086778968862,1.0,0.5370086778968862,1.0,0.4244033391693872,
fixed_full51_scaled,benchmark,1,2.809731280357768,0.18024288351406437,0.23285847967244086,0.8549490118009033,1.415155139689198,-0.3904297679918223,0.461652512924782,19.4080366665435,276.0,0.5138392913088516,5525.556751771961,31144.450520698432,0.0,0.0,0.0,104.0,0.015,6699.945205479433,2948.0,1103.5500000000043,51.0,51,51,0,0,0.3144461459928535,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|560280.SH|561380.SH|512980.SH|513520.SH|513030.SH|561360.SH,-0.03261080979335096,-0.17763161986993403,-0.09087788124651086,-0.3904297679918223,0.23349348417525628,-0.22629091608075746,2.511834408506598,-0.12533934648198297,0.4936191934660541,0.8534966819806024,0.4936191934660541,0.8534966819806024,0.4041077380416178,
fixed_core45_scaled__h2,benchmark_h2,2,3.2966164315034074,0.19796143550772327,0.23051194464086472,0.9281118002260312,1.586727948302302,-0.37432268169781424,0.5288523650499355,21.8243083053655,437.0,0.5549779316167711,7234.1281292183885,36202.77317658933,0.0,0.0,0.0,103.0,0.015,6601.602739725977,2948.0,1069.5100000000014,45.0,45,45,0,0,0.2730985196528841,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ,0.017212894880277663,-0.1782399538798205,-0.0820825534036067,-0.37432268169781424,0.5243242305860991,-0.1650898540766994,2.0187958923154268,-0.16740301724823625,0.580653394589076,1.0,,,0.4244033391693872,
fixed_full51_scaled__h2,benchmark_h2,2,1.980494688912494,0.14488843519852024,0.22949379418131566,0.7262146244712389,1.2246636621572755,-0.4464684354864561,0.3245211165726754,24.833339755081724,466.0,0.5561751353324458,6699.350640147673,34943.82987670987,0.0,0.0,0.0,97.0,0.015,5779.315068493144,2948.0,944.8800000000052,51.0,51,51,0,0,0.3144461459928535,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|560280.SH|561380.SH|512980.SH|513520.SH|513030.SH|561360.SH,-0.015087804274602212,-0.20405800710606692,-0.24701679025414414,-0.4464684354864561,0.49096221461608014,-0.18546279835048085,1.6954973397958555,-0.16049760516254175,0.5484941296579887,0.8660030627871363,,,0.4041077380416178,
pit_annual_hysteresis,governance_sensitivity,1,5.311613715677342,0.256421740895703,0.2239464967604689,1.1699882686247112,2.0386647725177425,-0.32448062107596165,0.7902528663974484,21.688961496933445,240.0,0.6927038502068354,9850.90488294535,49348.682999663666,0.0,0.0,0.0,53.0,0.015,7056.739726027402,2948.0,1116.730000000001,17.58141909137315,4,41,39,6,0.40939254721796836,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|159647.SZ|512070.SH|512800.SH|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.837284106352014,-0.14190711462285177,-0.19745914035257062,-0.32448062107596165,0.15680905117774224,-0.1548359936368766,2.7002857423012117,-0.12534138042747245,0.7616130678917815,0.4997447677386422,0.7616130678917815,0.4997447677386422,0.8305566649142727,207.0
pit_quarterly_hysteresis,governance_sensitivity,1,3.2431726805552525,0.1961051091491297,0.20920995644879306,0.9928834833517203,1.7098096782843941,-0.3769245883168951,0.5202767747915042,21.7556452452333,230.0,0.6004494182809791,6974.5502248043695,33299.090835421084,0.0,0.0,0.0,44.0,0.015,6708.698630136947,2948.0,1078.9599999999957,22.32057172026544,4,42,44,21,0.3981623277182236,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.2325746778412059,-0.20816475287564196,-0.2195041172789869,-0.3040435008883424,0.2728069523647165,-0.1708395234582477,2.465327696373257,-0.12534100276890048,0.7488514548238897,0.5569167942827974,0.7488514548238897,0.5569167942827974,0.8919193872235056,833.0
pit_semiannual_history120_window126,governance_sensitivity,1,1.1106614890928923,0.09696979756698387,0.1824180953645054,0.617647942208211,1.0245012243884746,-0.36717638899750726,0.26409595080919596,22.37580601223662,233.0,0.5657680250387782,6720.1637621754435,33952.43869234262,0.0,0.0,0.0,43.0,0.015,6575.46575342465,2948.0,1049.9299999999969,22.76416539050536,4,43,43,15,0.38795303726391017,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|512980.SH|513520.SH|513030.SH,0.27818029555073287,-0.17885666317708915,-0.16279747401686329,-0.26332234563581414,0.024969003742720375,-0.27304334787188234,0.9243550589916203,-0.0941533404103213,0.7228177641653905,0.5079122001020929,0.7228177641653905,0.5079122001020929,0.8785392780603375,470.0
pit_semiannual_immediate,governance_sensitivity,1,2.928200204291855,0.18472932249919238,0.211335883119891,0.9380564295263288,1.601085863007726,-0.3474906439399721,0.5316094856674869,22.601769204764913,242.0,0.5914814650218594,7299.687458837096,35462.09530675291,0.0,0.0,0.0,47.0,0.015,6787.150684931516,2948.0,1089.7099999999982,23.003062787136294,4,43,45,15,0.3838693210821848,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|512980.SH|513520.SH|513030.SH,0.2325746778412059,-0.20816475287564196,-0.15109472797269052,-0.26304937137327755,0.07785779624625966,-0.25013477197793166,2.483049724200298,-0.1253278943968148,0.7294538029606943,0.5538540071465033,0.7294538029606943,0.5538540071465033,0.8643253532720586,427.0
pit_semiannual_one_pass_two_fail,governance_sensitivity,1,2.928200204291855,0.18472932249919238,0.211335883119891,0.9380564295263288,1.601085863007726,-0.3474906439399721,0.5316094856674869,22.601769204764913,242.0,0.5914814650218594,7299.687458837096,35462.09530675291,0.0,0.0,0.0,47.0,0.015,6787.150684931516,2948.0,1089.7099999999982,23.186830015313937,4,43,45,15,0.3838693210821848,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|512980.SH|513520.SH|513030.SH,0.2325746778412059,-0.20816475287564196,-0.15109472797269052,-0.26304937137327755,0.07785779624625966,-0.25013477197793166,2.483049724200298,-0.1253278943968148,0.7294538029606943,0.5538540071465033,0.7294538029606943,0.5538540071465033,0.8652477304877163,427.0
pit_semiannual_rate80,governance_sensitivity,1,4.080723104649462,0.22310135886012783,0.20953012041803615,1.1024247817734025,1.9058122148062207,-0.31352881476133243,0.7115816740160208,22.02551574064076,221.0,0.6105892500306164,7681.826692627997,35986.95659644605,0.0,0.0,0.0,36.0,0.015,7123.561643835612,2948.0,1142.780000000004,21.431852986217457,4,44,44,14,0.4012251148545176,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.27126179458502775,-0.18623412009522367,-0.16325332362397538,-0.254017214637685,0.3659132442013515,-0.1709936031592345,2.4968211442052985,-0.12533810020038683,0.8504338948443083,0.5809086268504339,0.8504338948443083,0.5809086268504339,0.9410228249941078,444.0
