review_date,pool_size,additions,removals,members
2018-07-02,4,,,159915.SZ|510300.SH|510500.SH|518880.SH
2019-01-02,4,,,159915.SZ|510300.SH|510500.SH|518880.SH
2019-07-01,4,,,159915.SZ|510300.SH|510500.SH|518880.SH
2020-01-02,5,512800.SH:银行ETF华宝,,159915.SZ|510300.SH|510500.SH|512800.SH|518880.SH
2020-07-01,7,512660.SH:军工ETF国泰|513500.SH:标普500ETF博时,,159915.SZ|510300.SH|510500.SH|512660.SH|512800.SH|513500.SH|518880.SH
2021-01-04,8,512010.SH:医药ETF易方达,,159915.SZ|510300.SH|510500.SH|512010.SH|512660.SH|512800.SH|513500.SH|518880.SH
2021-07-01,12,510880.SH:红利ETF华泰柏瑞|512400.SH:有色金属ETF南方|512690.SH:酒ETF鹏华|512760.SH:芯片ETF国泰,,159915.SZ|510300.SH|510500.SH|510880.SH|512010.SH|512400.SH|512660.SH|512690.SH|512760.SH|512800.SH|513500.SH|518880.SH
2022-01-04,16,512070.SH:证券保险ETF易方达|512200.SH:房地产ETF南方|512980.SH:传媒ETF广发|515050.SH:通信ETF华夏,,159915.SZ|510300.SH|510500.SH|510880.SH|512010.SH|512070.SH|512200.SH|512400.SH|512660.SH|512690.SH|512760.SH|512800.SH|512980.SH|513500.SH|515050.SH|518880.SH
2022-07-01,21,159996.SZ:家电ETF国泰|512100.SH:中证1000ETF南方|513090.SH:香港证券ETF易方达|515210.SH:钢铁ETF国泰|515220.SH:煤炭ETF国泰,,159915.SZ|159996.SZ|510300.SH|510500.SH|510880.SH|512010.SH|512070.SH|512100.SH|512200.SH|512400.SH|512660.SH|512690.SH|512760.SH|512800.SH|512980.SH|513090.SH|513500.SH|515050.SH|515210.SH|515220.SH|518880.SH
2023-01-03,23,159819.SZ:人工智能ETF易方达|515790.SH:光伏ETF华泰柏瑞,,159819.SZ|159915.SZ|159996.SZ|510300.SH|510500.SH|510880.SH|512010.SH|512070.SH|512100.SH|512200.SH|512400.SH|512660.SH|512690.SH|512760.SH|512800.SH|512980.SH|513090.SH|513500.SH|515050.SH|515210.SH|515220.SH|515790.SH|518880.SH
