,equity
2018-07-02,100000.0
2018-07-03,100003.07849315068
2018-07-04,100006.18808219177
2018-07-05,100009.29767123287
2018-07-06,100012.40726027396
2018-07-09,100023.73602739724
2018-07-10,100026.84561643834
2018-07-11,100029.95520547943
2018-07-12,100033.06479452053
2018-07-13,100036.17438356162
2018-07-16,100047.5031506849
2018-07-17,100050.612739726
2018-07-18,100053.7223287671
2018-07-19,100056.83191780819
2018-07-20,100059.94150684928
2018-07-23,100071.27027397256
2018-07-24,100074.37986301366
2018-07-25,100077.48945205475
2018-07-26,100080.59904109585
2018-07-27,100083.70863013694
2018-07-30,100095.03739726022
2018-07-31,100098.14698630132
2018-08-01,100101.25657534241
2018-08-02,100104.36616438351
2018-08-03,100107.4757534246
2018-08-06,100118.80452054788
2018-08-07,100121.91410958898
2018-08-08,100125.02369863007
2018-08-09,100128.13328767117
2018-08-10,100131.24287671226
2018-08-13,100142.57164383554
2018-08-14,100145.68123287664
2018-08-15,100148.79082191773
2018-08-16,100151.90041095883
2018-08-17,100155.00999999992
2018-08-20,100166.3387671232
2018-08-21,100169.4483561643
2018-08-22,100172.5579452054
2018-08-23,100175.66753424649
2018-08-24,100178.77712328758
2018-08-27,100190.10589041086
2018-08-28,100193.21547945196
2018-08-29,100196.32506849305
2018-08-30,100199.43465753415
2018-08-31,100202.54424657524
2018-09-03,100213.87301369853
2018-09-04,100216.98260273962
2018-09-05,100220.09219178071
2018-09-06,100223.20178082181
2018-09-07,100226.3113698629
2018-09-10,100237.64013698619
2018-09-11,100240.74972602728
2018-09-12,100243.85931506837
2018-09-13,100246.96890410947
2018-09-14,100250.07849315056
2018-09-17,100261.40726027385
2018-09-18,100264.51684931494
2018-09-19,100267.62643835603
2018-09-20,100270.73602739713
2018-09-21,101212.37011856727
2018-09-25,100930.14634522356
2018-09-26,101738.72160268482
2018-09-27,101456.38846842574
2018-09-28,102886.93481946518
2018-10-08,99139.33963442376
2018-10-09,99139.33963442376
2018-10-10,99555.73427343897
2018-10-11,95808.13908839753
2018-10-12,97416.23070540244
2018-10-15,96800.89111528106
2018-10-16,96954.88703520519
2018-10-17,97104.47638333612
2018-10-18,97107.49268470598
2018-10-19,97110.50898607585
2018-10-22,97121.49789018543
2018-10-23,97124.5141915553
2018-10-24,97127.53049292516
2018-10-25,97130.54679429502
2018-10-26,97133.56309566488
2018-10-29,97144.55199977447
2018-10-30,97147.56830114433
2018-10-31,97150.5846025142
2018-11-01,97153.60090388406
2018-11-02,97156.61720525392
2018-11-05,97167.6061093635
2018-11-06,96851.70036823169
2018-11-07,96396.49355049666
2018-11-08,97189.69515796239
2018-11-09,94215.19208486612
2018-11-12,93943.14977467107
2018-11-13,93608.37400158298
2018-11-14,93611.2659193912
2018-11-15,93614.15783719941
2018-11-16,93617.04975500763
2018-11-19,93627.58550843228
2018-11-20,93630.4774262405
2018-11-21,93633.36934404871
2018-11-22,93636.26126185693
2018-11-23,93639.15317966514
2018-11-26,93649.6889330898
2018-11-27,93652.58085089801
2018-11-28,93655.47276870623
2018-11-29,93658.36468651444
2018-11-30,93661.25660432265
2018-12-03,93671.79235774731
2018-12-04,93674.68427555553
2018-12-05,93677.57619336374
2018-12-06,93680.46811117195
2018-12-07,93683.36002898017
2018-12-10,93693.89578240483
2018-12-11,93696.78770021304
2018-12-12,93699.67961802126
2018-12-13,93702.57153582947
2018-12-14,93705.46345363768
2018-12-17,93715.99920706234
2018-12-18,93718.89112487056
2018-12-19,93721.78304267877
2018-12-20,93724.67496048698
2018-12-21,93727.5668782952
2018-12-24,93738.10263171986
2018-12-25,93740.99454952807
2018-12-26,93743.88646733628
2018-12-27,93746.7783851445
2018-12-28,93749.67030295271
2019-01-02,93767.84989199381
2019-01-03,93770.74180980203
2019-01-04,93773.63372761024
2019-01-07,93784.1694810349
2019-01-08,93787.06139884311
2019-01-09,93789.95331665133
2019-01-10,93792.84523445954
2019-01-11,93795.73715226776
2019-01-14,93806.27290569241
2019-01-15,93809.16482350063
2019-01-16,93812.05674130884
2019-01-17,93814.94865911706
2019-01-18,93817.84057692527
2019-01-21,93828.37633034993
2019-01-22,93831.26824815814
2019-01-23,93834.16016596636
2019-01-24,93837.05208377457
